Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
26646.7167009,27974.18,16697.89,13807.35,15403.94,16725.26,39998.06,26061.92,51560.55
26646.7207009,27953.15,16630.08,13833.91,15419.15,16688.3,40000.73,26072.12,51568.47
26646.724700900002,27980.09,16674.0,13865.62,15428.83,16741.18,39984.52,26072.08,51544.2
26646.7287009,28016.24,16767.55,13851.31,15417.82,16806.03,39970.74,26057.29,51517.21
26646.7327009,28011.37,16773.94,13813.54,15406.99,16789.68,39981.04,26051.33,51526.74
26646.7367009,27977.04,16697.6,13801.81,15406.99,16725.21,39993.24,26059.63,51549.58
26646.7407009,27954.49,16630.94,13829.66,15422.39,16688.21,39996.44,26073.46,51558.41
26646.7447009,27980.62,16674.0,13862.99,15428.54,16738.8,39976.12,26076.65,51538.52
26646.7487009,28016.14,16764.45,13850.6,15417.34,16801.88,39965.3,26060.25,51514.73
26646.7527009,28007.84,16766.17,13815.83,15405.18,16786.05,39973.36,26047.85,51515.92
26646.7567009,27979.95,16695.84,13810.78,15413.48,16732.17,39991.67,26062.3,51543.77
26646.760700900002,27965.64,16637.61,13841.77,15432.31,16701.13,39995.58,26078.13,51557.45
26646.7647009,27994.83,16684.01,13875.1,15442.75,16754.3,39981.04,26077.42,51534.47
26646.7687009,28024.58,16768.22,13859.56,15426.59,16812.52,39967.59,26062.16,51514.25
26646.7727009,28020.67,16773.8,13822.13,15415.15,16793.21,39975.93,26052.05,51529.22
26646.7767009,27971.46,16692.88,13808.2,15407.23,16728.07,39987.09,26057.1,51552.59
26646.7807009,27949.67,16626.74,13833.86,15418.87,16691.11,39993.48,26069.17,51562.03
26646.7847009,27976.18,16668.61,13866.47,15427.93,16738.56,39980.46,26068.64,51540.29
26646.7887009,28011.18,16763.12,13857.7,15418.1,16802.89,39968.02,26056.91,51520.4
26646.792700899998,28003.22,16770.56,13821.89,15405.42,16787.48,39975.84,26049.9,51528.98
26646.7967009,27969.41,16697.12,13810.54,15408.61,16724.78,39989.62,26056.58,51549.58
26646.8007009,27946.67,16629.89,13837.2,15421.2,16687.87,39992.48,26073.51,51557.79
26646.8047009,27972.89,16672.8,13871.29,15428.69,16738.99,39979.89,26078.94,51542.0
26646.808700899997,28009.7,16766.6,13859.37,15416.1,16803.93,39969.35,26064.35,51520.02
26646.812700899998,28008.7,16777.52,13824.66,15405.85,16792.49,39979.75,26058.3,51529.56
26646.8167009,27977.09,16706.52,13813.4,15409.66,16731.45,39995.2,26062.54,51552.44
26646.8207009,27954.87,16642.38,13842.39,15424.59,16698.27,39998.92,26076.32,51564.6
26646.8247009,27983.34,16685.77,13873.96,15433.31,16746.86,39983.94,26084.24,51542.81
26646.828700899998,28020.67,16776.47,13862.9,15422.73,16814.28,39973.36,26061.92,51523.93
26646.8327009,28011.52,16781.48,13824.18,15407.37,16798.98,39981.51,26049.81,51529.99
26646.8367009,27980.47,16711.38,13814.16,15409.57,16737.61,39997.3,26061.44,51551.16
26646.8407009,27963.98,16650.34,13843.06,15427.45,16702.61,40002.35,26077.37,51560.84
26646.8446009,27990.58,16692.35,13874.72,15438.75,16753.15,39984.9,26077.66,51541.95
26646.8486009,28017.81,16776.33,13859.23,15422.68,16814.33,39969.5,26061.59,51516.35
26646.8526009,28007.65,16781.67,13822.03,15406.71,16800.17,39976.98,26051.57,51524.31
26646.8566009,27982.62,16712.43,13811.07,15411.28,16739.75,39992.77,26055.53,51544.29
26646.8606009,27960.69,16643.0,13837.53,15422.97,16704.66,39996.91,26070.79,51552.68
26646.8646009,27982.43,16681.15,13870.34,15429.21,16752.34,39984.85,26071.5,51532.94
26646.8686009,28019.91,16774.94,13862.04,15420.58,16817.81,39972.45,26059.25,51512.49
26646.8726009,28013.66,16780.04,13824.61,15408.14,16801.45,39980.56,26050.05,51522.88
26646.8766009,27980.0,16705.85,13809.44,15408.85,16733.6,39996.68,26053.24,51542.57
26646.8806009,27954.72,16637.47,13835.96,15419.91,16692.78,39999.11,26065.83,51551.97
26646.8846009,27977.66,16677.76,13866.09,15427.4,16738.85,39982.61,26067.93,51531.56
26646.8886009,28011.71,16767.36,13850.4,15414.76,16798.4,39969.16,26048.14,51510.63
26646.8926009,28006.08,16771.99,13808.92,15397.36,16780.09,39976.27,26036.65,51513.39
26646.8966009,27976.56,16698.89,13796.95,15404.51,16719.34,39991.77,26047.52,51540.24
26646.9006009,27956.16,16635.8,13827.95,15424.21,16686.25,39997.06,26068.02,51555.59
26646.9046009,27980.52,16679.81,13862.47,15434.65,16736.08,39981.99,26074.51,51536.47
26646.908600900002,28017.1,16774.47,13853.79,15424.49,16804.51,39971.79,26069.64,51520.4
26646.912600900003,28014.62,16782.81,13819.12,15409.9,16789.53,39980.46,26052.91,51530.75
26646.916600900004,27982.38,16708.52,13807.2,15412.81,16728.16,39996.63,26053.57,51551.54
26646.9206009,27961.4,16640.86,13833.91,15427.73,16691.69,40000.59,26068.83,51560.27
26646.9246009,27985.24,16678.72,13865.76,15434.55,16736.18,39987.04,26070.22,51541.72
26646.928600900002,28020.0,16772.32,13857.56,15423.92,16801.65,39974.07,26059.82,51523.5
26646.932600900003,28017.81,16786.63,13824.37,15415.62,16794.64,39984.37,26054.48,51536.42
26646.9366009,27976.28,16706.95,13806.01,15410.81,16729.64,39998.01,26056.58,51554.92
26646.9406009,27950.0,16637.8,13832.62,15423.11,16693.45,39999.73,26069.55,51568.71
26646.944600900002,27980.76,16678.91,13866.24,15434.79,16744.33,39986.52,26073.55,51551.49
26646.948600900003,28023.53,16771.99,13855.89,15427.54,16809.18,39973.55,26062.63,51526.84
26646.952600900004,28011.95,16775.42,13816.22,15412.09,16792.82,39980.32,26049.43,51527.79
26646.9566009,27977.61,16702.42,13808.11,15415.48,16733.79,39997.2,26061.2,51552.3
26646.9606009,27959.64,16636.56,13838.82,15435.41,16701.56,40003.92,26075.65,51564.94
26646.964600900003,27990.2,16677.86,13874.44,15447.28,16753.34,39991.24,26078.18,51545.24
26646.968600900003,28025.15,16767.6,13859.85,15433.36,16812.76,39978.46,26061.68,51516.3
26646.9725009,28011.18,16770.27,13816.98,15411.66,16791.39,39982.51,26042.42,51514.77
26646.9765009,27970.51,16689.97,13795.19,15407.47,16721.44,39990.33,26039.51,51530.32
26646.9805009,27945.52,16618.78,13813.35,15414.05,16673.76,39984.14,26044.42,51528.89
26646.9845009,27960.49,16648.87,13836.91,15409.28,16711.0,39960.34,26036.46,51499.52
26646.9885009,27989.25,16732.74,13818.31,15388.49,16767.12,39946.13,26015.0,51473.19
26646.9925009,27978.57,16735.7,13776.59,15372.09,16750.05,39953.05,26002.79,51485.97
26646.9965009,27954.15,16673.38,13773.97,15384.82,16699.65,39977.03,26023.25,51526.46
26647.000500899998,27941.75,16617.2,13811.21,15406.99,16672.42,39988.24,26052.67,51548.96
26647.0045009,27976.04,16667.51,13855.6,15425.11,16731.07,39980.32,26072.17,51541.72
26647.0085009,28006.84,16758.11,13847.5,15413.91,16800.07,39967.92,26065.45,51523.6
26647.0125009,28006.41,16770.65,13815.12,15406.94,16792.92,39978.08,26062.21,51537.42
26647.0165009,27978.66,16700.65,13804.96,15415.62,16733.36,39997.3,26069.83,51563.32
26647.0205009,27953.53,16633.8,13835.72,15430.88,16697.93,40005.16,26083.85,51576.81
26647.0245009,27974.08,16672.09,13870.19,15440.37,16745.95,39989.67,26088.77,51560.41
26647.0285009,28010.99,16763.5,13859.7,15428.97,16809.8,39976.32,26072.17,51535.28
26647.0325009,28010.23,16774.47,13823.56,15417.72,16796.4,39987.0,26061.25,51544.82
26647.0365009,27980.0,16701.84,13806.92,15419.68,16729.5,40001.4,26063.49,51564.6
26647.040500900002,27956.78,16634.47,13831.71,15433.84,16690.07,40002.3,26073.65,51573.47
26647.044500900003,27979.52,16671.18,13861.94,15439.04,16736.84,39985.23,26075.84,51555.78
26647.0485009,28015.57,16762.78,13850.4,15428.07,16801.17,39966.44,26063.4,51534.04
26647.0525009,28011.56,16769.46,13812.83,15413.81,16788.39,39972.45,26051.67,51540.33
26647.056500900002,27976.47,16694.31,13798.29,15411.33,16725.16,39989.38,26054.19,51563.46
26647.060500900003,27957.44,16628.93,13824.75,15427.21,16688.78,39995.39,26066.5,51576.81
26647.0645009,27981.05,16668.66,13857.41,15434.27,16738.23,39981.94,26071.98,51556.31
26647.0685009,28021.29,16763.78,13848.59,15422.82,16805.7,39972.02,26061.49,51540.38
26647.0725009,28012.33,16772.56,13809.92,15408.47,16789.72,39980.23,26051.52,51550.44
26647.076500900002,27977.42,16698.74,13795.33,15408.47,16725.07,39994.72,26055.05,51572.52
26647.080500900003,27955.3,16628.36,13819.12,15419.39,16686.35,39998.92,26068.79,51578.0
26647.0845009,27981.48,16668.8,13856.41,15428.59,16735.7,39984.18,26075.08,51559.45
26647.0885009,28015.04,16757.63,13846.64,15415.62,16798.21,39969.07,26060.82,51530.61
26647.092500900002,28005.32,16765.55,13805.72,15398.55,16779.9,39975.27,26050.0,51533.51
26647.096500900003,27970.75,16693.4,13790.66,15397.46,16715.19,39991.38,26054.86,51555.93
26647.1004009,27949.05,16625.36,13817.6,15414.86,16679.62,39998.58,26068.88,51568.85
26647.1044009,27974.18,16661.55,13851.83,15425.06,16731.41,39984.76,26076.61,51554.83
26647.1084009,28012.85,16751.53,13838.1,15412.52,16797.97,39968.78,26057.53,51528.17
26647.112400899998,28006.99,16760.07,13801.86,15398.31,16788.68,39973.69,26044.32,51532.32
26647.1164009,27974.66,16690.69,13789.94,15402.84,16731.79,39990.38,26052.67,51555.35
26647.1204009,27949.15,16622.5,13814.26,15416.58,16691.97,39999.11,26063.06,51562.36
26647.1244009,27975.04,16661.6,13851.02,15424.35,16738.75,39983.56,26065.21,51541.86
26647.128400899997,28016.05,16756.49,13844.63,15414.14,16807.27,39970.83,26053.24,51519.26
26647.132400899998,28011.13,16768.12,13812.11,15402.6,16798.69,39973.74,26045.18,51528.94
26647.1364009,27982.29,16701.03,13804.15,15412.71,16738.56,39980.65,26052.53,51558.69
26647.1404009,27963.55,16632.46,13827.23,15427.54,16693.98,40001.35,26063.21,51571.04
26647.1444009,27981.95,16664.84,13856.7,15429.64,16733.31,39987.52,26060.97,51550.35
26647.148400899998,28011.37,16756.54,13844.78,15414.43,16796.45,39969.16,26044.56,51526.27
26647.1524009,27999.17,16764.55,13802.34,15397.98,16782.33,39972.36,26032.26,51530.94
26647.1564009,27964.79,16689.83,13788.03,15400.46,16721.11,39987.57,26040.8,51561.74
26647.1604009,27940.8,16620.07,13812.69,15416.1,16681.39,39991.19,26053.48,51575.0
26647.1643009,27961.11,16655.4,13847.5,15426.59,16727.16,39977.08,26059.82,51563.36
26647.1683009,27996.92,16743.23,13832.76,15413.81,16787.44,39963.15,26041.75,51536.42
26647.1723009,28000.17,16756.58,13796.62,15401.89,16776.95,39974.03,26034.41,51541.53
26647.1763009,27961.07,16677.67,13776.69,15395.83,16705.9,39982.18,26036.89,51554.11
26647.1803009,27938.89,16607.91,13801.72,15408.85,16666.08,39983.8,26054.58,51567.37
26647.1843009,27966.55,16648.34,13838.25,15418.29,16713.05,39972.74,26060.49,51552.06
26647.1883009,28006.22,16742.71,13831.81,15406.04,16778.66,39961.15,26045.52,51526.36
26647.1923009,28004.6,16758.44,13798.29,15393.4,16770.56,39970.55,26038.32,51535.18
26647.1963009,27976.52,16692.07,13788.7,15395.88,16713.62,39987.9,26043.75,51560.93
26647.2003009,27953.49,16624.64,13813.54,15409.66,16675.28,39984.09,26053.86,51570.85
