Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
26793.4702009,27698.9,16234.45,13518.0,15078.59,16694.36,39772.94,25802.57,51944.5
26793.4742009,27666.52,16158.49,13526.73,15089.94,16635.75,39781.48,25816.59,51970.87
26793.4782009,27657.23,16117.48,13566.92,15107.92,16625.31,39765.93,25834.28,51970.3
26793.482200899998,27682.78,16174.7,13577.37,15097.0,16677.14,39765.93,25827.79,51941.73
26793.4862009,27703.24,16241.55,13540.51,15072.4,16712.62,39763.03,25808.24,51931.77
26793.4902009,27688.89,16221.0,13504.94,15064.67,16676.09,39779.57,25803.66,51953.94
26793.4942009,27663.0,16147.57,13513.28,15078.4,16618.54,39792.73,25811.34,51978.88
26793.498200899998,27653.13,16108.47,13550.09,15096.05,16606.52,39780.76,25822.64,51983.46
26793.5022009,27681.74,16169.98,13564.64,15094.09,16663.31,39766.46,25819.26,51953.37
26793.5062009,27708.82,16240.6,13530.78,15080.74,16699.75,39759.97,25800.61,51938.54
26793.5102009,27697.57,16225.96,13502.12,15077.5,16671.71,39782.15,25798.85,51956.23
26793.5142009,27668.53,16155.29,13508.51,15095.38,16614.58,39794.12,25810.34,51977.12
26793.5182009,27656.56,16113.95,13545.28,15113.31,16599.32,39786.34,25822.36,51970.68
26793.5222009,27696.99,16178.42,13562.63,15118.36,16662.98,39768.56,25820.16,51947.65
26793.5262009,27714.68,16245.27,13529.3,15093.19,16700.94,39763.12,25801.61,51932.05
26793.5302009,27700.62,16229.68,13502.93,15085.37,16674.95,39773.14,25802.0,51947.5
26793.5342009,27669.62,16160.06,13516.28,15097.57,16624.31,39774.18,25819.11,51964.24
26793.538200900002,27658.23,16120.86,13554.81,15109.64,16612.53,39781.77,25830.08,51957.66
26793.542200900003,27688.94,16186.76,13573.55,15104.49,16676.86,39762.02,25824.07,51936.87
26793.5462009,27714.07,16261.15,13543.18,15084.89,16720.39,39754.2,25810.72,51924.9
26793.5502009,27691.27,16238.6,13510.56,15069.68,16684.82,39763.88,25802.76,51935.73
26793.554200900002,27658.13,16164.88,13522.67,15081.6,16629.55,39778.0,25812.77,51958.61
26793.558200900003,27647.16,16126.4,13561.01,15097.43,16615.54,39771.47,25821.83,51956.52
26793.5622009,27678.4,16192.15,13581.23,15096.33,16676.43,39759.35,25817.35,51936.87
26793.5662009,27702.53,16262.01,13547.57,15079.55,16715.05,39754.06,25799.33,51929.29
26793.5702009,27683.45,16239.12,13511.04,15069.72,16677.29,39758.88,25798.32,51944.55
26793.574200900002,27648.64,16161.83,13520.1,15079.6,16616.3,39779.38,25815.44,51963.29
26793.578200900003,27634.43,16117.48,13556.29,15090.28,16601.47,39782.96,25824.17,51967.34
26793.5822009,27669.58,16179.09,13570.93,15089.61,16659.64,39761.98,25814.82,51943.5
26793.5862009,27693.75,16247.7,13534.98,15069.87,16696.5,39755.06,25796.89,51930.62
26793.590200900002,27687.46,16230.63,13501.12,15066.96,16665.89,39768.7,25793.7,51948.12
26793.594200900003,27661.57,16152.57,13506.7,15082.79,16603.04,39782.86,25803.62,51967.39
26793.5981009,27647.69,16106.89,13539.27,15098.38,16580.06,39776.66,25812.53,51966.01
26793.6021009,27676.06,16167.36,13547.57,15095.62,16632.99,39758.54,25805.67,51938.21
26793.6061009,27700.9,16236.93,13513.52,15075.97,16671.23,39756.35,25789.12,51926.62
26793.610100899998,27683.93,16215.95,13480.52,15063.86,16635.75,39763.03,25783.3,51934.2
26793.6141009,27648.55,16140.99,13495.73,15075.83,16585.26,39768.41,25802.33,51955.61
26793.6181009,27632.1,16098.84,13537.65,15086.6,16578.39,39760.17,25817.59,51950.7
26793.6221009,27671.25,16171.5,13567.16,15093.23,16654.59,39740.81,25816.83,51933.91
26793.626100899997,27698.95,16246.51,13541.7,15072.44,16704.28,39747.29,25800.71,51925.57
26793.630100899998,27686.17,16232.02,13515.47,15063.1,16680.34,39757.88,25800.76,51940.07
26793.6341009,27655.32,16159.49,13530.26,15074.78,16625.74,39762.69,25818.54,51956.8
26793.6381009,27643.4,16120.91,13570.6,15091.04,16611.53,39758.21,25828.51,51956.04
26793.6421009,27676.73,16186.05,13586.71,15090.71,16668.94,39738.9,25815.06,51929.91
26793.646100899998,27695.9,16253.62,13546.8,15068.29,16705.42,39731.79,25793.79,51913.08
26793.6501009,27674.3,16229.35,13505.84,15051.8,16667.56,39756.83,25787.98,51928.96
26793.6541009,27646.26,16153.29,13515.28,15067.67,16611.39,39770.66,25803.86,51949.22
26793.6581009,27636.15,16111.33,13552.14,15084.32,16596.22,39766.27,25816.25,51949.17
26793.6621009,27666.05,16173.17,13564.45,15082.74,16653.92,39748.48,25813.77,51928.05
26793.6661009,27692.99,16247.08,13529.49,15066.43,16692.55,39745.24,25794.08,51918.32
26793.670100900003,27681.54,16231.25,13496.11,15065.34,16659.93,39756.54,25793.22,51938.54
26793.6741009,27647.4,16150.33,13500.41,15075.11,16596.27,39781.81,25801.38,51955.42
26793.6781009,27642.06,16111.38,13538.6,15095.66,16581.2,39776.47,25815.16,51956.28
26793.6821009,27679.3,16176.46,13552.14,15097.91,16637.52,39759.21,25809.2,51937.59
26793.686100900002,27705.96,16247.61,13517.67,15080.98,16674.38,39759.4,25790.6,51923.09
26793.6901009,27689.27,16227.39,13484.19,15072.16,16638.19,39777.0,25788.02,51940.59
26793.6941009,27656.27,16152.24,13494.78,15083.6,16585.64,39784.15,25799.8,51963.86
26793.6981009,27644.35,16109.85,13531.64,15100.43,16575.62,39776.04,25814.58,51963.19
26793.702100900002,27678.73,16175.99,13552.81,15097.67,16643.43,39757.78,25813.01,51936.97
26793.706100900003,27710.2,16255.43,13528.11,15083.65,16693.78,39758.5,25798.32,51925.14
26793.7101009,27700.24,16244.46,13506.8,15080.12,16673.19,39766.36,25800.85,51942.21
