Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
22054.910187600002,38439.8,16827.06,25126.13,17884.4,16027.98,34660.39,29280.57,16584.54
22054.914187600003,38467.36,16853.62,25018.98,17828.61,15986.06,34681.85,29193.79,16570.86
22054.918187600004,38483.62,16846.04,25002.63,17823.27,15959.84,34711.32,29196.93,16581.87
22054.9221876,38466.6,16820.81,25085.98,17861.99,15984.11,34707.74,29273.18,16598.75
22054.926187600002,38440.04,16809.7,25176.58,17895.08,16035.8,34677.84,29338.36,16606.52
22054.930187600003,38444.0,16828.68,25140.0,17870.09,16047.43,34660.06,29292.01,16592.27
22054.934187600003,38477.47,16856.29,25032.43,17822.51,16000.65,34686.47,29200.61,16581.68
22054.9381876,38486.29,16846.8,25014.36,17813.16,15966.99,34717.8,29204.75,16593.55
22054.9421876,38470.75,16819.19,25096.37,17850.45,15983.73,34717.28,29277.28,16607.0
22054.946187600002,38438.75,16802.22,25175.62,17884.54,16025.12,34680.7,29331.5,16605.38
22054.950187600003,38434.65,16822.63,25131.9,17862.27,16033.22,34658.67,29280.0,16590.98
22054.954187600004,38464.31,16848.28,25021.84,17812.16,15984.11,34683.14,29189.4,16577.87
22054.9581876,38489.39,16844.47,25006.82,17812.06,15954.11,34717.56,29193.74,16588.93
22054.962187600002,38481.96,16819.29,25089.55,17853.07,15971.81,34717.28,29270.22,16602.66
22054.966187600003,38440.28,16795.92,25165.94,17884.5,16010.48,34679.13,29321.48,16600.8
22054.970187600004,38437.37,16815.86,25121.93,17865.85,16017.87,34660.11,29272.85,16586.93
22054.974087600003,38469.94,16848.23,25015.98,17821.5,15974.67,34688.67,29186.78,16573.24
22054.978087600004,38491.68,16846.71,25005.63,17821.46,15948.68,34721.19,29189.54,16580.44
22054.982087600005,38475.9,16821.77,25092.22,17862.27,15972.81,34719.14,29265.6,16595.56
22054.986087600002,38449.72,16803.41,25170.95,17896.42,16017.34,34683.42,29323.25,16597.08
22054.990087600003,38451.82,16823.82,25129.46,17877.01,16024.97,34663.59,29276.76,16580.77
22054.994087600004,38475.42,16850.14,25019.46,17826.94,15979.43,34688.62,29190.93,16566.71
22054.998087600005,38497.02,16850.19,25003.1,17825.56,15950.59,34721.43,29189.4,16575.39
22055.0020876,38477.71,16821.05,25082.5,17861.89,15970.33,34714.61,29262.59,16585.3
22055.006087600003,38437.99,16795.92,25156.64,17885.4,16006.04,34673.74,29315.52,16579.82
