feature,rf_importance,importance
psd_gamma_low,0.0644220424901672,100.0
psd_gamma_high,0.05242328016120128,81.37475642626931
ratio_theta_alpha,0.05164351438055256,80.16435428671012
energy_ratio,0.05113630690774103,79.37703452284366
dyn_conn_variance,0.05036166872180293,78.17459176257829
phase_locking_value,0.04656296239685632,72.27799771167341
hjorth_mobility,0.039760156356204605,61.7182486293775
ind_alpha_power,0.03902581877430927,60.57836303508357
psd_delta,0.038237487459679496,59.3546649277935
zcr,0.030890717878035892,47.950540970120244
ratio_beta_alpha,0.030546550643210435,47.41630265428605
ptp,0.02895007415051213,44.93815009812955
rel_alpha,0.02832444140056174,43.96700307179011
wavelet_complexity,0.026318775135555982,40.85368007320327
median,0.02490090473541016,38.65277127655617
sample_entropy,0.02468156786382815,38.31230260604563
spectral_entropy,0.023789823242223694,36.92807977309127
skewness,0.022805480362893527,35.40012002316498
microstate_var,0.0225317983042341,34.97529328982879
signal_coherence,0.022350872698954024,34.69444903484
perm_entropy,0.022042874667087237,34.21635486091839
total_power,0.021342749889182357,33.12957656137637
psd_alpha,0.021207445122043672,32.919547878787895
dfa,0.020926633809272618,32.48365466286896
psd_beta,0.02071929829282762,32.16181526065403
energy,0.020619683877126063,32.007187416128986
hjorth_complexity,0.01779871585783489,27.62830107497993
lempel_ziv,0.016560603217231507,25.70642372874031
spectral_edge,0.015376712921254978,23.86871376144577
mean,0.015153030790445492,23.521500102636942
hjorth_activity,0.01484240581081078,23.039328212973366
psd_theta,0.014640098771388063,22.72529433325961
higuchi_fd,0.013714528017206183,21.288564421563386
variance,0.013658698470374965,21.20190224092896
kurtosis,0.013460831299665046,20.894760208386106
alpha_peak_freq,0.00963986853930657,14.963618300021942
std,0.00863157658300746,13.398483266538634
