feature,f_value,p_value,importance
wavelet_complexity,14.441437849452985,0.0003321531259450285,100.0
rel_alpha,13.628422537835746,0.00047230244814357847,94.37026063406813
dfa,13.101050167004205,0.0005950242705077678,90.71846102568276
hjorth_complexity,12.733841394143923,0.000699735667077089,88.17571717504748
lempel_ziv,12.427835860726507,0.0008015923724931283,86.05677627312747
psd_alpha,11.970443236938461,0.0009835255470230714,82.88955270054277
hjorth_mobility,10.5142228681808,0.0019088207685619089,72.80592817549022
variance,8.029538065802756,0.0062025202093891965,55.60068290642472
hjorth_activity,8.029538065802756,0.0062025202093891965,55.60068290642472
energy,8.010082661245482,0.006261676097978394,55.46596360243235
psd_delta,7.798176212709317,0.006945747496582722,53.99861353144069
zcr,7.42928008860564,0.00833062626051991,51.444185586319904
psd_gamma_low,6.839082029086019,0.01118390177116378,47.357348349804866
ptp,6.716436453733102,0.011896877955200579,46.50808682452286
std,6.605636669020342,0.012582297172578812,45.7408516927596
kurtosis,6.2747495623463,0.01488922651946215,43.44961788264024
ind_alpha_power,6.072876786948509,0.016513190344675757,42.051746164448154
spectral_entropy,5.5393339127035475,0.021778574868498164,38.35721879254126
dyn_conn_variance,4.50134193271244,0.03787241278962497,31.16962437977007
spectral_edge,4.4385740940783664,0.03918887725072392,30.734987335395356
ratio_theta_alpha,4.368693104946197,0.040712722895412265,30.25109515055438
sample_entropy,4.294661389790601,0.042397001830724146,29.738461187597572
ratio_beta_alpha,3.9763518402086278,0.0505461199034639,27.534320901150743
microstate_var,3.690811162631554,0.05931360576763129,25.557089267059066
perm_entropy,3.554696980659816,0.06406486950092248,24.614564129391457
psd_beta,3.1098969682828974,0.08274497539880954,21.53453832438641
median,2.196381279436074,0.14340021562522154,15.208882261812102
phase_locking_value,2.175830075660747,0.14525422246761568,15.066575076131794
signal_coherence,2.0961904440045256,0.1527047575031307,14.515108993000482
energy_ratio,1.912559026139013,0.17163982292362373,13.243549888015183
higuchi_fd,1.761270156738815,0.1893328708128108,12.195947350253137
mean,0.8040933327485491,0.37334105506543647,5.5679589603953925
total_power,0.6730420571693158,0.41513606852971563,4.66049201046009
psd_theta,0.5209438962266177,0.47315265964380204,3.6072855186393378
alpha_peak_freq,0.24313725490196078,0.6236913336445764,1.6836083597532525
skewness,0.023567579478573523,0.8784888839702688,0.16319413429782698
psd_gamma_high,0.0010720178711064725,0.9739857612349715,0.007423207316902164
