channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
O1,0.344990198,0.701828904,54.85055583,7.40611611,-0.436043394,1.168799175,0.074880192,54.96957407,59.93730456,4.003503464,1.558573905,2.926944963,0.725841924,43.0177405,0.068040416,0.532491702,0.247986188,23.4375,2.00230616,0.701064645,1.311373672,54.85055583,0.266824923,1.870529988,4.445343905,166,0.322292219,10.7421875,3.031044978,8.491912271,0.401882371,0.009976718,0.036600972,1.76E-05,0.807707497,1.253169081,0.255931844,m_et_s,m_et_s
O1,0.678549416,0.747126738,74.57761826,8.635833385,-0.091543973,1.063942358,0.076522436,75.03804757,67.56113099,3.673801851,1.892164209,5.064198203,0.76911707,52.69096246,0.096111325,0.373635496,0.151873414,22.4609375,2.155920219,0.689601749,1.280971434,74.57761826,0.256322608,1.860467762,4.29659327,174,0.375962446,11.23046875,6.151633184,8.471575805,0.343833427,0.006680993,0.045754032,2.41E-05,0.820586548,0.908310676,0.229639663,m_et_s,m_et_s
O1,0.655479731,0.984431381,73.43840391,8.56962099,-0.1117445,1.29423857,0.075678914,73.86805759,79.30746532,4.298995844,1.55306122,4.05923525,0.717749074,48.26565675,0.084101938,0.382599461,0.176818792,23.4375,2.148223506,0.69610191,1.292745525,73.43840391,0.260320031,1.869609251,4.385020673,167,0.359934598,10.7421875,6.678587106,8.470684358,0.345864506,0.006143534,0.04607827,3.49E-05,0.794792529,0.964928909,0.229718348,m_et_s,m_et_s
O1,0.563339911,0.514289077,83.98806853,9.164500452,0.449702481,4.060944883,0.087060703,84.30542038,91.45785315,3.416357877,1.988413933,4.916711901,0.837113842,52.93762612,0.092877453,0.404419452,0.170258876,22.4609375,2.215337374,0.69148286,1.295374134,83.98806853,0.249475544,1.917081543,4.357065326,184,0.398225093,10.7421875,8.842152941,8.443799696,0.368647961,0.010979149,0.042318416,4.31E-05,0.820033421,1.429091621,0.260039384,m_et_s,m_et_s
O1,0.561776645,0.601125129,66.89232569,8.178772872,0.682983245,4.476051799,0.069289137,67.20791869,89.85601064,4.505084573,1.928455875,1.641577661,0.545212632,37.60921524,0.043648283,1.174757625,0.332127224,22.4609375,2.101542124,0.702883296,1.334691067,66.89232569,0.234212584,2.195482158,4.225336669,161,0.283701522,10.25390625,1.898010159,8.420323255,0.300692868,0.010596439,0.045346405,1.79E-05,0.868665024,1.912727843,0.293878431,n_3_s,n_3_s
O1,0.469139198,0.496348876,83.62084549,9.144443421,-0.186844967,1.043194169,0.080071885,83.84093707,80.45586028,3.367599211,2.090204072,7.960262136,0.79039166,64.53171234,0.123354268,0.262579804,0.099292165,21.484375,2.213146418,0.688714867,1.268504959,83.62084549,0.264648498,1.738315097,4.176079533,174,0.298767528,11.23046875,6.280552752,8.478200646,0.325683065,0.006981299,0.045547046,1.43E-05,0.806205392,0.965435047,0.25093525,n_3_s,n_3_s
O1,0.373181801,0.914511069,81.72613977,9.04025109,-0.053446757,1.300584795,0.077076677,81.86540443,77.68785349,4.726040908,1.866065618,5.496642633,0.794324627,57.92679902,0.094889459,0.339491894,0.144510873,22.4609375,2.201686949,0.683212176,1.274786522,81.72613977,0.265810123,1.753829479,4.283473709,167,0.342322558,10.7421875,5.460477468,8.496991096,0.340296419,0.00710013,0.050663699,1.52E-05,0.774454992,1.073735549,0.200976624,n_3_s,n_3_s
O1,-0.291685727,-0.061851232,59.15373578,7.691146584,-0.602952696,2.200917352,0.075320513,59.23881634,72.83358576,4.988042918,2.441653955,3.244771527,0.791340737,51.95396394,0.062454744,0.752488714,0.243881805,22.4609375,2.040069873,0.693178683,1.291228353,59.15373578,0.271910086,1.783147381,4.445356581,175,0.406877409,11.23046875,3.382138355,8.471879312,0.346902859,0.009323998,0.04350545,2.46E-05,0.754961576,1.276628867,0.274174318,n_3_s,n_3_s
O1,-0.192904301,0.315026902,61.97282879,7.872282311,-0.391259446,0.868659691,0.081070288,62.01004086,72.47340514,4.444686094,1.591012886,4.569834505,0.801713487,52.40829061,0.087196786,0.348155471,0.175436,24.4140625,2.063348022,0.705473759,1.317161267,61.97282879,0.280049715,1.78395669,4.418029086,173,0.29756136,11.23046875,4.487646542,8.531794636,0.319482228,0.008746875,0.052008679,2.35E-05,0.770366027,0.8800814,0.223663388,m_et_s,m_et_s
O1,-0.005910159,0.634934659,89.47367399,9.459052489,-0.43863932,0.701089732,0.076078275,89.47370892,69.86427859,4.886929677,2.103797992,7.404062338,0.948304528,69.76171185,0.10613361,0.284141043,0.12807895,21.484375,2.246972218,0.688536878,1.281007478,89.47367399,0.258088121,1.824462909,4.221542967,165,0.402241342,11.71875,5.856378521,8.492184049,0.374096334,0.006753226,0.065938202,1.32E-05,0.844627851,0.816501529,0.236772592,m_et_s,m_et_s
