feature,f_value,p_value,importance
spectral_edge,4.657921635434412,0.03479115694045685,100.0
energy_ratio,4.4522989843613585,0.03889686732008733,95.585527899207
ind_alpha_power,4.439378177914151,0.039171704701299444,95.30813365648477
psd_gamma_high,3.8882699446502853,0.053090139496869755,83.47649979919969
psd_delta,3.7377044365593157,0.057766888934512095,80.2440386314212
phase_locking_value,3.650926536338151,0.060664708754450195,78.38102102371789
zcr,3.361960284817893,0.07151956705550698,72.17726161905141
lempel_ziv,2.6217405514855354,0.1104849462476784,56.28563030217283
ratio_theta_alpha,2.433090284291283,0.12388881522780376,52.235534960097404
dyn_conn_variance,2.113086389345233,0.15108788244558816,45.36543451633574
hjorth_mobility,1.7115522657296887,0.19561358628166736,36.74497768939095
psd_gamma_low,1.6643303341379307,0.2018107468409275,35.7311793628471
spectral_entropy,1.4793076622611874,0.22849317822899073,31.75896414846453
hjorth_complexity,1.311607826569785,0.2565053802585333,28.158649484180525
psd_theta,0.975021185507849,0.3272690444269537,20.932537337908983
alpha_peak_freq,0.9457627118644066,0.33457917995605846,20.304392943618126
rel_alpha,0.7852735239384709,0.37895745532825875,16.8588822526473
psd_beta,0.6188450838048052,0.4344734516333477,13.285862928586814
median,0.46927540028717585,0.4958739005235363,10.074780921972506
signal_coherence,0.46562613578313217,0.4975478469592972,9.99643558279199
variance,0.2927218844373586,0.5904202632829821,6.284388346307129
hjorth_activity,0.2927218844373586,0.5904202632829821,6.284388346307129
energy,0.29198913605741594,0.5908845665801211,6.26865711600114
ptp,0.2462248738281688,0.6215005348064799,5.28615320522036
std,0.2416623558997716,0.6247439607702248,5.188201408571646
sample_entropy,0.1889500206362908,0.6653011731892047,4.056530689543658
ratio_beta_alpha,0.1428659054783626,0.7067393724145202,3.0671599193840557
microstate_var,0.11230552685662037,0.738665674018129,2.4110651841429362
dfa,0.09354938087053731,0.7607370839769564,2.008393188903716
total_power,0.09324533087895862,0.7611140864756004,2.0018655996616457
kurtosis,0.07459056281745612,0.7856742411249757,1.6013700670706876
wavelet_complexity,0.05707599713824405,0.8119665482030279,1.2253533143204323
psd_alpha,0.02658677043118789,0.871005837189689,0.5707861254885266
higuchi_fd,0.018451099208803962,0.8923919375058535,0.39612300620173824
perm_entropy,0.0075875801859836434,0.9308674082776073,0.16289626103329674
mean,0.0029370368921517553,0.956954507790139,0.0630546651924907
skewness,0.0004065643513951505,0.9839777429105504,0.0087284497940514
