feature,f_value,p_value,importance
dfa,13.523195588685349,3.642654453168497e-06,100.0
energy_ratio,9.435321147476499,0.00013187211239640493,69.77138713700842
psd_gamma_low,7.933159706862599,0.0005133517827113381,58.663351090626485
hjorth_mobility,6.295848762872769,0.0023176938672475993,46.55592475598304
hjorth_complexity,6.110572462732625,0.0027535534803001475,45.18586174886983
spectral_entropy,5.519051688846447,0.004784914995575583,40.81174196329862
signal_coherence,3.2631063097428084,0.04075297223017544,24.129698401116077
skewness,2.611527185666461,0.0764555707298036,19.311465019787825
lempel_ziv,2.3876227161684334,0.09501455150984406,17.65575821565519
zcr,2.0396740605259174,0.1333379597045669,15.0827816335991
alpha_peak_freq,1.7864202954271438,0.17078431309518327,13.210045537770778
dyn_conn_variance,1.6792248418268578,0.18969010143739035,12.417367114262843
wavelet_complexity,1.486975923615545,0.22906849653995018,10.995743675109418
ratio_theta_alpha,1.2838896174597703,0.27970999847976674,9.49398098282318
microstate_var,1.2495101344844435,0.2893430336611223,9.239754955033627
ptp,1.2329272637061268,0.2941088774281607,9.117129569121209
kurtosis,1.0448902119413923,0.3540459350190154,7.726651626747423
ind_alpha_power,1.0350158516420147,0.35751528029066776,7.65363367596337
rel_alpha,0.9436789273191447,0.3912836308366434,6.978224348900984
ratio_beta_alpha,0.843810787183689,0.43191574900698604,6.239729224131703
psd_gamma_high,0.7939979664672053,0.45375335430034947,5.871378264554062
perm_entropy,0.7179117151570258,0.4892869757335523,5.308743118066646
psd_beta,0.7009365724795922,0.49759156823079764,5.183216998399809
higuchi_fd,0.4999342593319664,0.6074863349370977,3.696864813152993
energy,0.4980842874843478,0.6086044385094965,3.6831848228320183
hjorth_activity,0.4843231640802576,0.6169871550431552,3.5814254175653826
variance,0.4843231640802576,0.6169871550431552,3.5814254175653826
psd_alpha,0.4468159612030597,0.6404332710945919,3.3040708335010978
spectral_edge,0.4148334380905947,0.6611371507038114,3.067569609343516
std,0.3937047431887992,0.675185165452126,2.91132920918637
total_power,0.32023992919526517,0.7264250291241818,2.368078810183039
psd_theta,0.30486960745878333,0.7376338723168043,2.2544198629639216
sample_entropy,0.3024263198211901,0.7394317023952438,2.236352479248511
phase_locking_value,0.26622944367781004,0.7665918164272847,1.9686873707613912
mean,0.21148173219718158,0.8096031118118329,1.5638443651153366
psd_delta,0.06715515539431309,0.9350756554883451,0.4965923546243817
median,0.010643165211702497,0.9894139520679042,0.07870303392348676
