feature,mutual_info,importance
dfa,0.11704099062465456,100.0
psd_gamma_low,0.1140893640086329,97.47812574016278
spectral_entropy,0.09121908510796395,77.93772474166734
energy_ratio,0.08884159208431375,75.9063910944029
hjorth_mobility,0.07235384689690338,61.819236586042805
alpha_peak_freq,0.06378392385322873,54.497081332625626
psd_alpha,0.0558312484178658,47.70230337242635
ind_alpha_power,0.05143275365006561,43.94422276807981
kurtosis,0.04313148726130267,36.85160816830703
psd_theta,0.041313621012550206,35.2984204867517
phase_locking_value,0.036283593163574546,31.0007570594942
spectral_edge,0.03278414859196199,28.0108263070836
hjorth_complexity,0.031778058628973094,27.151221515959282
signal_coherence,0.026767795969344643,22.87044549647381
total_power,0.02156558290841959,18.425666762834815
dyn_conn_variance,0.01922596444273683,16.426693195372614
ratio_theta_alpha,0.014046249697377444,12.001137056694235
median,0.005960513896396069,5.092672118190781
std,0.0,0.0
variance,0.0,0.0
mean,0.0,0.0
skewness,0.0,0.0
perm_entropy,0.0,0.0
higuchi_fd,0.0,0.0
ratio_beta_alpha,0.0,0.0
rel_alpha,0.0,0.0
energy,0.0,0.0
psd_delta,0.0,0.0
psd_beta,0.0,0.0
zcr,0.0,0.0
ptp,0.0,0.0
sample_entropy,0.0,0.0
hjorth_activity,0.0,0.0
lempel_ziv,0.0,0.0
wavelet_complexity,0.0,0.0
psd_gamma_high,0.0,0.0
microstate_var,0.0,0.0
