channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
O1,-0.7806860586546933,-0.4048956275497044,114.73518242919955,10.711450995509413,-0.3295675413422155,0.3046886712119931,0.0836661341853035,115.34465315137732,70.11807154598905,7.50573282885723,2.0573697836571965,2.341796547592565,1.171851556838248,61.2071918346592,0.038260153380644,0.8785433498790627,0.5004070733825896,26.3671875,2.371313355732068,0.7290250456227345,1.4451379587727544,114.73518242919955,0.2671390051919513,2.145342381064708,4.0876756818291184,174,0.2959156797950201,8.7890625,2.3479537246721387,8.539860570138666,0.3084858187481282,0.0073322011709819,0.1349054488966843,2.450617147931693e-05,0.9133689829295574,0.920809586503738,0.2593000405692338,a_c_b,a_c_b
Oz,-1.1644919596824486,-0.1335148895990692,98.76867481181786,9.938243044513344,-2.05525766135852,11.047549688758972,0.093849840255591,100.12471633598292,112.11075672290072,4.962371548138412,1.9679036633789213,1.7914049479747836,1.0382618351564714,48.61306212264654,0.0368502799403013,1.0985253030609707,0.5795796401758551,26.3671875,2.2963902489701704,0.7330527576387305,1.4531113943719445,98.76867481181786,0.2658878009601076,2.124749565044008,4.330363237749524,188,0.3126134486896206,8.7890625,1.9922652898056497,8.395084480899575,0.3161374648940557,0.012918579178786,0.0963172987975861,2.639798332350814e-05,0.8784560370377015,0.4918470114793627,0.2988328095032456,a_c_b,a_c_b
O2,-1.002626607858079,-0.1780081565748361,118.48863586205988,10.885248543880836,-1.6420590553675396,6.729802983287776,0.0894568690095846,119.49389597684488,109.66395461229504,5.164845072737402,2.3163374407526542,3.567584215128133,1.234344018043156,61.24841416651216,0.0582477810026096,0.6492733741029463,0.3459887541852529,25.390625,2.3874085280483204,0.7194380135622698,1.4059639130064363,118.48863586205988,0.2609938920078993,2.1055028603352763,4.211943219818863,191,0.2578103694114537,11.71875,3.3802427334967504,8.379958200735652,0.3001766031346839,0.0102595952618446,0.0980092359691689,4.805109516098697e-05,0.916748021811442,0.4940535117459734,0.2812589135343947,a_c_b,a_c_b
PO3,-0.6871323961496593,-0.4788959809457518,88.17841665620942,9.390336344147071,-0.7301949488576152,2.641528189496904,0.086461661341853,88.65056758604779,83.88869313636636,6.347820885045025,1.8815385371616875,2.9583158709328146,1.1662342259386551,59.39509635440888,0.0498074092393187,0.6360167809154206,0.3942223470446782,25.390625,2.2396811119873057,0.7158038134477959,1.4000944833268405,88.17841665620942,0.2807867470474663,1.9197821508305744,4.465170842363172,181,0.3152851363539564,11.71875,2.394730871203663,8.460211332022336,0.3351958165659551,0.009394942468964,0.099795218812794,5.235090394665843e-05,0.8438138432603935,0.6326126903577752,0.2555417534320849,a_c_b,a_c_b
PO4,-1.6266734182004314,-0.1613123692376121,171.78996275331366,13.106867007538971,-2.313025697970226,11.018434217073588,0.0826677316293929,174.43602916279352,142.5153615938271,9.605334070560604,3.204077983158431,4.64312918413291,1.364933801369311,84.77363930549475,0.0547709078219549,0.6900686705224168,0.2939685171874467,22.4609375,2.5731362919191856,0.7109800260157223,1.3501240082766022,171.78996275331366,0.2277715695284227,2.2692389552537047,4.225811879177338,175,0.3289121941634133,8.7890625,4.308510050246015,8.340857899435015,0.3070474797325643,0.0083263062780989,0.1016109288111489,8.083165403995944e-05,0.89410285433557,0.3972485918118384,0.2989850107265261,a_c_b,a_c_b
TP7,-0.2853467542208203,0.2280392372833378,46.24175894618723,6.800129333048544,-0.6951358108706746,1.8087304674771367,0.0894568690095846,46.32318171633159,53.54001233254732,3.505655423551349,0.9696794959927844,1.1316395976270308,0.6076860314275804,29.86059121082976,0.0378974277380218,0.8568801392476321,0.5369960831185614,26.3671875,1.9169416315818597,0.7286745447431783,1.419047121206882,46.24175894618723,0.2761183875818069,1.9766426665391832,4.443309854693901,192,0.2424936563074533,8.7890625,1.3956711698037023,8.490842365887206,0.3507991422896395,0.0140517872365838,0.0587389864454851,2.3243319271391196e-05,0.8619351952553814,1.1720605395332622,0.3120633962763532,a_c_b,a_c_b
TP8,-0.2492327224599992,0.5244520747691725,110.35985788072392,10.50523002512196,-0.7478012442614396,2.053529164373348,0.0782747603833865,110.42197483066872,87.58246428944321,7.51955941422564,4.415121815581879,4.760947827428327,1.986093062638148,95.0126319422044,0.0501085774607778,0.9273619404409124,0.4171633747372854,24.4140625,2.351873230794212,0.7191729613071747,1.3512280263973329,110.35985788072392,0.3011524306265343,1.7218212998347335,4.616021626969268,176,0.2749301541563174,8.7890625,3.9526930959799462,8.463295079413028,0.3585135860004342,0.0153611919510976,0.1227661129121697,4.5113048486013856e-05,0.7813329193272684,0.8905560741617781,0.3025383141088795,a_c_b,a_c_b
Fz,-0.2252617991900768,-0.1428238611510366,116.8441891012554,10.809449065574777,-0.3330578724146638,1.2125435428131397,0.0726837060702875,116.89493197942976,81.83052907322693,11.329936642549,3.8318744386639394,4.353113757363072,1.422147685241714,92.32842104610587,0.0471481447212149,0.8802605794949689,0.326696650836708,22.4609375,2.380420665104868,0.7116130344231478,1.333575490177092,116.8441891012554,0.2566176311799931,1.9479380006172675,4.320856732852358,160,0.2576348736900343,8.7890625,4.043705324443203,8.436195592769936,0.3463242637226775,0.0112272882433924,0.0722484754048752,8.482012618275284e-05,0.8646432124416644,0.9321512644791118,0.3085059374253536,a_c_b,a_c_b
O1,0.1134588857969385,-0.2376872598723549,142.94101290430444,11.955794114332368,0.1509643747512402,0.5871207445315143,0.0784235668789808,142.95388582307075,94.13154090772872,9.669412782728193,2.656662889864413,5.229741374197943,1.2231694534662672,82.5709055668268,0.0633363693700243,0.5079912561205479,0.2338871783413683,23.4375,2.481216024001789,0.7050271935432184,1.3588117129207813,142.94101290430444,0.2400103459568987,2.20294611090607,4.061562415679065,175,0.3742534250306774,11.23046875,5.085646367528289,8.552266450398683,0.339613718114749,0.0080297650335826,0.1173533142633371,2.0512849725312207e-05,0.893414852256383,0.9978321251063142,0.2305087560904058,a_pu_b,a_pu_b
Oz,0.0281462297488672,0.5280195567293078,176.5079227373603,13.285628428394356,-0.2368093692842497,9.173879761162894,0.0798168789808917,176.50871494760935,160.2204968402049,5.258446240063666,1.7327154053061002,4.655220696311558,1.0331502526334062,59.92378767406294,0.0776856883885945,0.37220907843939,0.2219336783435414,23.4375,2.586682881705669,0.6962086539105765,1.350730844866337,176.5079227373603,0.2087811901509547,2.4829208253993755,4.048016788811653,179,0.4278989193178688,11.23046875,5.018571164824001,8.401623579795869,0.3333567534166549,0.0078832112346939,0.0827413401594446,2.6957788666671327e-05,0.9165412595806324,1.0417857467797726,0.2242989625938432,a_pu_b,a_pu_b
