channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
TP7,-1.655565721,0.270029997,121.0784752,11.00356648,-3.384718282,19.11940343,0.061498397,123.8193731,135.6073164,4.194890263,1.754447852,1.680683607,0.749839966,39.82231602,0.042204567,1.04388943,0.44615177,22.4609375,2.398219446,0.720056285,1.365454255,121.0784752,0.206104174,2.548926821,3.942096271,143,0.290071688,12.20703125,2.27028626,8.185324458,0.317712033,0.006870453,0.045688861,2.80E-05,1.000603808,0.352650558,0.311426441,m_et_s,m_et_s
TP7,-1.665673652,0.165763431,102.9658349,10.14720823,-2.820582377,12.37385116,0.076677316,105.7403036,103.8265725,3.35159179,1.534325905,1.653946092,0.635607999,34.24880734,0.048292078,0.927675885,0.384297893,23.4375,2.317198617,0.722749677,1.397519295,102.9658349,0.215587932,2.477866398,4.246282393,167,0.255249821,11.71875,1.888096853,8.242238121,0.29393853,0.007208639,0.046357038,3.10E-05,0.95177849,1.110989481,0.321858474,m_et_s,m_et_s
TP7,-0.103515616,0.411460238,161.4459627,12.70613878,-0.522581561,20.5763374,0.071086262,161.4566782,224.6238318,3.652823938,1.558188636,1.948695965,0.664014113,36.93826426,0.052755483,0.799605821,0.340747929,21.484375,2.542085245,0.710538875,1.334405619,161.4459627,0.187993879,2.761943935,4.159471774,161,0.256674658,11.23046875,2.110105277,8.004485828,0.288858666,0.015924664,0.028784726,2.42E-05,0.997601587,1.030166925,0.301520217,m_et_s,m_et_s
TP7,-0.660445853,0.062016753,70.13547775,8.374692696,-0.579644907,2.91343446,0.075279553,70.57166647,80.4398604,4.990150891,1.678856077,1.708365408,0.681511183,40.78653991,0.041885519,0.982726569,0.398925885,21.484375,2.125214384,0.720756947,1.354701438,70.13547775,0.225656074,2.321696609,3.810429765,164,0.331277293,12.6953125,1.686872258,8.466784507,0.308255337,0.011286196,0.057703894,2.44E-06,0.932842024,0.448000585,0.313323474,m_et_s,m_et_s
TP7,-0.806893915,0.01881351,56.98702746,7.548975259,-1.676505306,5.755316053,0.083067093,57.63810525,66.06466745,3.256232005,1.158138744,1.566227324,0.53052658,30.21563872,0.05183499,0.73944486,0.338728977,25.390625,2.021411827,0.728866336,1.383735409,56.98702746,0.241956664,2.178024957,4.462018176,178,0.288682451,10.7421875,1.655065492,8.431080694,0.274000925,0.011436109,0.056910728,1.12E-05,0.912070053,0.453620384,0.274946795,m_et_s,m_et_s
TP7,0.42833115,0.6252897,41.07618195,6.409070288,-0.33078746,1.120498769,0.088141026,41.25964953,49.3458266,3.097485861,1.138990434,1.457993655,0.635387119,31.11736209,0.046854668,0.781203972,0.435795531,25.390625,1.857714219,0.723403257,1.403824095,41.07618195,0.294490105,1.827128875,4.532445417,187,0.272736837,11.23046875,1.343957202,8.479109401,0.296067429,0.012189421,0.053776369,3.84E-06,0.828928121,0.920678384,0.288965655,m_et_s,m_et_s
TP7,-0.096055844,0.336697098,44.31295424,6.656797597,-0.413664807,1.499524386,0.086261981,44.32218097,56.21231944,3.668804086,1.581755181,1.717631125,0.659194897,36.06946563,0.047620088,0.920893408,0.383781411,24.4140625,1.895638528,0.725822008,1.386353982,44.31295424,0.287824191,1.846702124,4.44377607,187,0.309616503,8.7890625,1.434741314,8.531208335,0.279748516,0.009507945,0.049990539,7.61E-06,0.809567327,0.93645803,0.297472094,m_et_s,m_et_s
TP7,0.006161989,0.177816367,37.80185421,6.148321252,-0.508020585,1.427850454,0.087740385,37.80189218,49.57862898,2.972364485,1.318634296,1.544255951,0.605962598,31.27598121,0.04937514,0.853896205,0.392397774,26.3671875,1.816179077,0.725240699,1.401936326,37.80185421,0.310633301,1.750532819,4.576024544,187,0.275216553,10.25390625,1.463410148,8.509362129,0.34418565,0.011341944,0.067295572,3.91E-06,0.76159745,1.099585676,0.312123016,m_et_s,m_et_s
TP7,-0.236779298,0.063857986,40.6077446,6.372420624,-0.623814047,2.081952375,0.084464856,40.66380904,51.71091872,3.37425282,1.522178558,1.687955106,0.556679583,32.9835256,0.051175703,0.901788533,0.329795254,25.390625,1.851979401,0.723384975,1.364579371,40.6077446,0.281788453,1.852301104,4.528892271,175,0.244835797,8.7890625,1.550787385,8.46363129,0.338329679,0.00873272,0.045310884,6.12E-06,0.794092987,1.129726665,0.278371105,m_et_s,m_et_s
TP7,0.073635333,0.331216866,41.718938,6.459019895,-0.547248993,1.25378632,0.076277955,41.72436016,52.03712719,2.820171376,1.30460713,2.168001678,0.647364018,34.00350168,0.063758189,0.60175559,0.298599408,24.4140625,1.865477587,0.717049929,1.353543577,41.718938,0.29376252,1.758069022,4.557503147,169,0.329443176,11.23046875,2.761580023,8.479240029,0.336529587,0.010134446,0.051305786,2.17E-06,0.793303173,0.963847721,0.258903013,m_et_s,m_et_s
TP7,-0.177806696,0.046426813,43.7049955,6.610975382,-0.26214191,1.745678913,0.088658147,43.73661072,53.94774127,3.363743979,1.194801174,1.788840838,0.612939134,33.0587044,0.054111039,0.667919218,0.342645987,26.3671875,1.888731205,0.736292518,1.402279194,43.7049955,0.28821516,1.88932852,4.551927819,191,0.344190915,8.7890625,1.236219849,8.47717451,0.348218461,0.011326324,0.053038829,1.34E-05,0.857449103,1.410157077,0.313602804,m_et_s,m_et_s
TP7,-0.058610551,0.10131983,33.15727096,5.758235056,-0.151621578,0.133774955,0.074880192,33.16070616,39.86575117,3.429756876,1.020042637,0.591623196,0.324045578,22.56875437,0.02621426,1.724142401,0.54772291,23.4375,1.750631014,0.716357323,1.371052913,33.15727096,0.245788416,2.209733828,3.952761279,165,0.278466525,9.765625,0.769819831,8.537147463,0.325930914,0.00860747,0.03002011,4.44E-06,0.879002721,0.970669925,0.269441604,m_et_s,m_et_s
