channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
O1,-0.477469766,0.587251635,74.29630681,8.619530545,-1.489320505,5.290585771,0.086939103,74.52428419,80.84131487,5.023057765,1.632716583,2.168396203,0.955976153,47.48119519,0.045668526,0.752960451,0.440867841,26.3671875,2.154030622,0.720008691,1.377682087,74.29630681,0.276224854,1.94101375,4.566892235,190,0.340829327,12.20703125,3.281837905,8.390669949,0.334553622,0.00706894,0.070073201,2.02E-05,0.855814525,0.567522541,0.28509107,m_et_s,m_et_s
O1,-2.077204218,-0.254306539,174.6572754,13.21579643,-4.506296838,31.67419023,0.077076677,178.9720527,176.419201,4.009043646,1.975952242,2.216023255,0.790131363,43.01739746,0.051514582,0.891665842,0.356553732,22.4609375,2.581412814,0.719022147,1.366351157,174.6572754,0.196124629,2.694234168,3.852880012,178,0.3163653,10.25390625,1.733481324,8.182132801,0.337400006,0.009686324,0.057048334,5.79E-05,0.959057875,0.245293952,0.293143912,m_et_s,m_et_s
O1,-1.008702679,0.244773464,151.9413283,12.32644832,-3.932566744,29.6300554,0.071086262,152.9588094,202.7027882,4.892825854,1.578379205,1.73415808,0.682558991,40.21468854,0.043122504,0.910170314,0.393596754,24.4140625,2.511747224,0.702457599,1.364228436,151.9413283,0.199340408,2.666439388,4.337274446,163,0.266797752,11.23046875,1.534788927,8.133460827,0.282657632,0.008294401,0.032724368,1.30E-05,0.920661323,3.485901601,0.299099677,m_et_s,m_et_s
O1,-1.140958778,-0.140329638,139.5079139,11.81134683,-0.660855963,2.791344023,0.073083067,140.8097008,112.0906485,9.733357199,2.871134938,3.729654759,1.038707708,74.29996912,0.050197259,0.769812522,0.278499694,21.484375,2.469060665,0.711458421,1.358740453,139.5079139,0.207084587,2.55893811,3.647111704,162,0.301341654,11.71875,5.300573066,8.511358732,0.307750667,0.017158632,0.094982954,1.20E-05,0.969143118,0.585568863,0.266885982,m_et_s,m_et_s
O1,-0.673178933,0.213149736,117.1061485,10.82155943,-2.107484793,10.90319009,0.102635783,117.5593183,120.9732732,4.239037051,1.680484855,2.360229663,1.014697996,47.14453315,0.050063698,0.712000566,0.429914941,29.296875,2.381540388,0.739914445,1.478092788,117.1061485,0.246261072,2.383872986,4.257734139,203,0.359916347,10.7421875,2.231379493,8.483322396,0.222367467,0.004769741,0.179787235,1.08E-05,0.915738831,0.414840544,0.25681724,m_et_s,m_et_s
O1,0.39114341,0.423840572,75.40390838,8.683542387,0.172095794,1.533487254,0.106971154,75.55690155,88.44132497,4.555051853,1.28489177,2.489809586,1.032637878,47.35144278,0.052581494,0.516060255,0.414745723,29.296875,2.161429555,0.741619457,1.454429708,75.40390838,0.322284356,1.797836434,4.573577278,211,0.371236928,11.23046875,4.474075255,8.483997454,0.337657831,0.009032012,0.176038823,1.38E-05,0.809331648,0.740917092,0.239735535,m_et_s,m_et_s
O1,-0.221164257,-0.074792107,75.30692243,8.677956121,-0.056507351,0.416885112,0.109824281,75.35583606,60.25380546,4.365441674,1.724843215,5.613855087,1.213496664,64.29405817,0.087315302,0.307247549,0.216161024,27.34375,2.160786031,0.721591042,1.422150108,75.30692243,0.336750088,1.659450624,4.575620703,214,0.384647266,11.23046875,5.37550218,8.51670887,0.320150453,0.007447043,0.157492501,3.56E-05,0.778047232,0.863092363,0.215846782,m_et_s,m_et_s
O1,0.745529717,0.740589779,69.50039009,8.336689396,0.283498576,1.35498137,0.08994391,70.05620465,73.83456346,4.541965977,1.911143879,2.402122362,0.866316224,46.47265492,0.051688942,0.795606381,0.360646167,27.34375,2.120666183,0.728169004,1.413693011,69.50039009,0.284456512,1.9524065,4.457683215,186,0.324927366,11.23046875,3.027192038,8.47080739,0.325089001,0.010410184,0.087589246,1.34E-05,0.83970713,0.838639531,0.269210647,m_et_s,m_et_s
O1,-0.072364925,0.282245786,54.50568226,7.382796371,-0.308281744,0.492437281,0.090055911,54.51091894,56.76071704,4.345216125,1.616905253,1.716856927,0.816055433,41.05969489,0.04181368,0.941782176,0.475319417,26.3671875,1.999152479,0.729210111,1.435564227,54.50568226,0.307696304,1.836531988,4.553585269,194,0.301531686,8.7890625,1.946873594,8.509892985,0.34823879,0.005710072,0.079984419,9.20E-06,0.822282354,1.08426333,0.291931132,m_et_s,m_et_s
O1,-0.631964086,-0.24656026,74.94502113,8.657079249,-0.293300441,0.62575193,0.090654952,75.34439973,71.67468075,5.042087607,1.432324658,2.69959622,0.968488732,49.08674351,0.054996442,0.53056996,0.358753181,27.34375,2.158377397,0.736878005,1.438793614,74.94502113,0.293150351,1.938717215,4.401517906,187,0.30257386,9.27734375,2.551498679,8.54999402,0.302046021,0.010719211,0.099314806,6.48E-06,0.87901334,1.306415323,0.263353236,m_et_s,m_et_s
