feature,f_value,p_value,importance
psd_gamma_low,31.177585915741027,7.599941129441665e-16,100.0
wavelet_complexity,30.951800383582718,9.080971759216578e-16,99.275808163055
perm_entropy,16.36810172023157,6.368081772696721e-10,52.49958019349919
higuchi_fd,14.334385306725922,6.140808582134165e-09,45.976572225525445
spectral_edge,10.67739352861549,4.976429446543292e-07,34.24701821838187
spectral_entropy,10.39380367638109,7.129435543157604e-07,33.33742293091858
energy_ratio,9.711339721256143,1.7135220365331554e-06,31.148465912343315
ind_alpha_power,9.613406123134325,1.9459707631809407e-06,30.8343505142285
ratio_beta_alpha,7.972446227390926,1.728362785055261e-05,25.5710825364634
microstate_var,7.662544731374169,2.6403327718538976e-05,24.57709442957699
rel_alpha,6.819458330677997,8.515703557866986e-05,21.872951770890545
lempel_ziv,6.590567346392345,0.00011756558940473117,21.13879940609796
phase_locking_value,6.260690343747139,0.0001877622116756478,20.08074121154526
dfa,5.813331774584837,0.00035651717375223644,18.64586883120346
psd_alpha,5.085292173571486,0.0010273105083262255,16.310731008214493
ratio_theta_alpha,4.58788502522648,0.002137625802827538,14.7153311921759
kurtosis,2.976439394710898,0.02381871936169454,9.546728225703147
signal_coherence,2.806621872579036,0.030737869229767716,9.002049998880834
psd_gamma_high,2.6810376180864726,0.037107364285541906,8.599246988949401
zcr,2.5987217662317454,0.04197479067574064,8.335224456617391
hjorth_complexity,2.3939316007328455,0.05698767263553134,7.678373839470972
total_power,2.2053009142459734,0.07541120127751874,7.073353659279165
psd_theta,2.2051397497304572,0.0754291927157174,7.0728367349863355
psd_beta,1.476764190350408,0.21665178928023357,4.73662134823856
hjorth_mobility,1.462765833750805,0.22094568062317607,4.691722565383998
alpha_peak_freq,1.4295470571537703,0.23144662015987919,4.5851755842071675
mean,1.195293802458416,0.31904450583577204,3.83382409943078
dyn_conn_variance,1.0383895204081908,0.3924681195256893,3.330564217558377
median,0.9970661990284512,0.41392912988503394,3.1980224566554707
skewness,0.59214160752496,0.6692687301249672,1.8992541921791255
ptp,0.3603654219938064,0.8361305624507732,1.155847739359012
energy,0.32141522369902764,0.8628896318712909,1.0309176103873734
variance,0.2834748970846937,0.8879237854686558,0.9092265765887029
hjorth_activity,0.2834748970846937,0.8879237854686558,0.9092265765887029
psd_delta,0.23881256043794621,0.9156271951205712,0.7659751498507582
std,0.23741992810314427,0.9164541231494939,0.761508375743983
sample_entropy,0.20712291216597004,0.9337984231969634,0.6643327444457373
