feature,f_value,p_value,importance
energy_ratio,18.54468152703383,3.799116690178668e-18,100.0
hjorth_mobility,11.617725639594312,7.643582418163836e-13,62.64721032096653
psd_gamma_low,11.358320887397156,1.2995676532182792e-12,61.248400900491966
dfa,10.089699417120778,1.915346540372605e-11,54.40750978878955
spectral_entropy,9.904089274078387,2.878763747553072e-11,53.406629063111865
mean,6.894931136018675,3.7002760421980935e-08,37.18009999776739
rel_alpha,5.821537436855349,6.26760290368538e-07,31.391951532674756
median,5.290771317500888,2.687037600044656e-06,28.529858060857904
psd_gamma_high,4.721260220532917,1.3339199668470408e-05,25.458836883504407
spectral_edge,4.679129524703165,1.5041716253804906e-05,25.231652093254247
zcr,4.647518318224459,1.646264155959378e-05,25.06119240413732
hjorth_complexity,4.146874192383696,6.980512305965626e-05,22.361528216801773
sample_entropy,3.92369301526886,0.0001340197530938559,21.158050137172907
lempel_ziv,3.4098019492908067,0.0006107983711751352,18.38695339318774
kurtosis,2.998521263889123,0.0020731540856377627,16.169170980466703
psd_delta,2.5589006902201508,0.007620669259623539,13.798569074857763
std,2.380462384865492,0.01285403382698605,12.83636163498053
ptp,2.3644097689350274,0.013469533322004436,12.749799803724148
ratio_beta_alpha,2.1201306186085387,0.027250579802664793,11.432553400919188
dyn_conn_variance,2.116996586126988,0.02749524096926956,11.41565350173795
ratio_theta_alpha,2.1069342113953233,0.028295140696128384,11.361393337081058
signal_coherence,2.1011978249042116,0.028761117627925974,11.330460551943984
skewness,2.017935124925988,0.03641198038742577,10.881476298119804
alpha_peak_freq,1.7783312577833126,0.0706903321223172,9.589440806470144
psd_alpha,1.7581170254780099,0.07466582770379415,9.480437951523106
total_power,1.7143679194933108,0.08398640867219645,9.244526076083654
phase_locking_value,1.4780102863606748,0.15515414918802406,7.96999551707631
ind_alpha_power,1.3701164139165858,0.20228426744496522,7.3881905813226005
microstate_var,1.2986068502943349,0.23964055807804785,7.002583724078886
energy,1.2922157005132933,0.24323213832718196,6.968120205405219
variance,1.28366766622304,0.24810216090953158,6.922025942326112
hjorth_activity,1.28366766622304,0.24810216090953158,6.922025942326112
perm_entropy,1.2479352093650316,0.26929076313768335,6.729342898371333
psd_theta,1.2366014781946262,0.27629436414661734,6.668227094609034
higuchi_fd,1.1200700964038839,0.3563089386724359,6.039845412125747
wavelet_complexity,1.113339984175112,0.3613735228447335,6.003554078575689
psd_beta,0.45997477191603786,0.9225568082929057,2.4803595103291562
