feature,rf_importance,importance
mean,0.08167323553921199,99.99999999999999
energy_ratio,0.04859563088343214,59.50006824463441
psd_gamma_low,0.045737715985581615,56.00086207387065
psd_gamma_high,0.04402722901970916,53.906556693926156
skewness,0.04263368003842882,52.200307428692525
spectral_entropy,0.04125926066538037,50.517480289575964
dfa,0.039887913562027734,48.83841481078244
hjorth_mobility,0.037152209885815135,45.48884299799541
dyn_conn_variance,0.0355973365124987,43.585069548772964
median,0.03461092157340362,42.37731166752495
microstate_var,0.029432852890200735,36.03732935995878
kurtosis,0.027706764309617295,33.923921498512264
wavelet_complexity,0.02746996259955529,33.6339835420953
alpha_peak_freq,0.026870810769825632,32.900387247331146
phase_locking_value,0.02620777807350565,32.08857577452418
ratio_beta_alpha,0.025538359045174958,31.268944932289088
lempel_ziv,0.02518464051211969,30.83585503359707
hjorth_complexity,0.023970460357400268,29.349223401210615
higuchi_fd,0.023351751085735055,28.591681144459724
rel_alpha,0.02315381802810482,28.34933362838121
zcr,0.021155572121667507,25.902698701719174
signal_coherence,0.02092437396702445,25.619621689872304
ratio_theta_alpha,0.02091963022840349,25.613813497519395
variance,0.020197192708905826,24.729267275335246
std,0.02002626648551228,24.519986692455088
hjorth_activity,0.01904828161120974,23.322550509296896
psd_delta,0.01826058316211155,22.358099371910512
ptp,0.0179744513792278,22.00776210292063
energy,0.017117704592640035,20.95876878101846
psd_theta,0.016673763119214896,20.415210698013407
psd_beta,0.015270229203859748,18.696735966249783
perm_entropy,0.015121155325912026,18.51421120527573
ind_alpha_power,0.015067512303111189,18.448531154220223
total_power,0.0139832965177153,17.121026766475786
sample_entropy,0.013760270623532493,16.847955799334134
psd_alpha,0.013383775924435938,16.386978960825274
spectral_edge,0.01105360938878715,13.533943299552792
