feature,f_value,p_value,importance
wavelet_complexity,33.263065712806366,5.0657427894673197e-26,100.0
lempel_ziv,21.47106318455071,5.2923658757288045e-20,64.54926124348273
spectral_entropy,20.122015569947237,3.599874337873357e-19,60.49356888412185
dfa,18.25061827124675,5.9822063061940344e-18,54.867517109886286
hjorth_complexity,16.299421591463727,1.382888435825737e-16,49.001561468185436
energy_ratio,13.411165921458876,2.2971562017476767e-14,40.31849029566611
hjorth_mobility,11.427847777351642,1.1265444279375137e-12,34.355966692967485
mean,9.371712751543457,9.456533545874072e-11,28.174530972156674
spectral_edge,9.314982671287712,1.0754069312115929e-10,28.003981207605346
ratio_theta_alpha,7.48092382947025,8.415825837094097e-09,22.490181434449305
zcr,6.853855656074715,4.111887564379254e-08,20.60500290397455
median,5.6236480597923215,1.073776472128823e-06,16.90658374170004
variance,5.476483797849956,1.607867961021542e-06,16.464158310403405
hjorth_activity,5.476483797849956,1.607867961021542e-06,16.464158310403405
energy,5.427033192332335,1.842658879233682e-06,16.31549310333988
psd_delta,5.211368600897099,3.351371330072083e-06,15.667132566469087
skewness,4.808997390932647,1.0394121721465105e-05,14.457468931016695
std,4.427264464000849,3.097705472621717e-05,13.309850938653382
rel_alpha,3.4512676639164876,0.0005401214504890024,10.375675212004708
ratio_beta_alpha,3.0604060203485326,0.001724809550299207,9.200613216990003
sample_entropy,3.049617947366701,0.001781022991100217,9.168180629221409
ptp,2.346071257254408,0.014207968102299335,7.0530818701751965
dyn_conn_variance,2.2687175936566573,0.017781670323693256,6.82053065476522
psd_gamma_high,2.1147078279132248,0.02767524935302056,6.357525329059062
microstate_var,2.079755665597161,0.030569063269804374,6.252447334691852
phase_locking_value,1.864723925804633,0.055817617293434145,5.605989363411893
kurtosis,1.6757931964414472,0.09307791252759791,5.03799983714749
psd_theta,1.6267739943222175,0.10592065877505774,4.890631574274603
alpha_peak_freq,1.3457204842887331,0.2144538839576693,4.045689882910063
psd_alpha,1.2000325064007369,0.2998310468267153,3.607702659646075
ind_alpha_power,1.1875000229929258,0.3082285924349979,3.5700257854937743
perm_entropy,0.9600926618834995,0.4887455983395398,2.886362520439183
higuchi_fd,0.957659703048528,0.4909344986811407,2.87904822519058
signal_coherence,0.796286200431846,0.6431943286273623,2.393905021584567
psd_gamma_low,0.7271823121382317,0.7095430491851124,2.186155414587251
total_power,0.5456671414624356,0.8664329739071729,1.6404595600830392
psd_beta,0.4198694941414909,0.9434088214117977,1.2622693824034386
