feature,rf_importance,importance
wavelet_complexity,0.0951287706973978,100.0
energy_ratio,0.06353464605321944,66.78804486533474
mean,0.05868895041662519,61.69421720303025
lempel_ziv,0.05241722217431022,55.10133452796113
median,0.047289993111562935,49.71155704512487
dfa,0.03871839850677031,40.70103946778893
hjorth_mobility,0.037000098693390555,38.89475121158343
skewness,0.034023582047017185,35.76581700529416
dyn_conn_variance,0.032253915229556895,33.90553141084497
hjorth_complexity,0.029494525700598722,31.004842682578186
spectral_entropy,0.029455818533809405,30.964153449966904
zcr,0.02833900731717875,29.790154029556856
ratio_theta_alpha,0.025608032562594404,26.919335102156325
psd_gamma_high,0.025459523299356062,26.763221171376387
alpha_peak_freq,0.025146625484165262,26.434300895315932
kurtosis,0.02505056906647305,26.333325746590667
rel_alpha,0.02347622159181829,24.678361151638924
phase_locking_value,0.02333653093199405,24.53151739574872
signal_coherence,0.02288439182200852,24.056225739322535
ptp,0.021145122807290116,22.22789451842305
psd_gamma_low,0.020750075788340094,21.812618449938306
psd_delta,0.018874982335361497,19.84150767111491
psd_theta,0.018044610533620095,18.968615279408525
ratio_beta_alpha,0.0176831698291319,18.588666393452737
spectral_edge,0.01689492789916649,17.760061204731453
hjorth_activity,0.016614510307862207,17.465284357255644
microstate_var,0.016389327595169804,17.228570783600095
ind_alpha_power,0.016270569298866958,17.103731268243994
psd_beta,0.016072682731031077,16.89571158462446
sample_entropy,0.01532680682789477,16.11164184665957
variance,0.014971213521316702,15.737839784495641
higuchi_fd,0.013562730755746526,14.257233281074585
std,0.01329699740898872,13.977892609677603
psd_alpha,0.013120763402746956,13.792634243623068
energy,0.012607465135359342,13.25305167188943
perm_entropy,0.010572138748285706,11.113502961070958
total_power,0.01049508183397408,11.032500217372375
