feature,f_value,p_value,importance
energy_ratio,11.74572986819719,2.8299713884692257e-05,100.00000000000001
mean,10.519633870573525,7.610734608823905e-05,89.56134687769851
skewness,8.494690108987761,0.00040892815008808326,72.32151772865164
dyn_conn_variance,6.541737373906121,0.0021970369376035246,55.69460090869762
phase_locking_value,6.4765984385313,0.002326232316253699,55.140025449311395
median,6.471742164758479,0.002336169676049347,55.09868043433731
ratio_beta_alpha,5.367719124191675,0.006220779632964882,45.69932379191986
wavelet_complexity,4.561496917462787,0.012888803033143176,38.83536373344941
dfa,4.31187557660341,0.01618748214280204,36.71015445603147
psd_alpha,4.305564179629022,0.0162812544029746,36.65642091162674
hjorth_complexity,3.7448026235190253,0.027278726332813544,31.88224712760061
total_power,3.6600523591296277,0.029506397281410388,31.16070606254625
rel_alpha,3.4949070127065163,0.03439649885022217,29.754702789218303
microstate_var,3.2475137577231887,0.04332046427731494,27.64846283853485
higuchi_fd,3.151562668620941,0.047389427403332504,26.831560950112873
kurtosis,2.7749991287939553,0.06751872524271316,23.625599770581818
ratio_theta_alpha,2.057433815912447,0.13355833886741222,17.516440774644135
perm_entropy,2.0414950435035117,0.13561287396284105,17.38074233284622
lempel_ziv,1.9261218132641396,0.15148049581938242,16.39848553370292
spectral_edge,1.890112749349851,0.15681183158863324,16.091914002445534
ind_alpha_power,1.8081609639464367,0.16967147697303941,15.39419843838078
hjorth_mobility,1.769728854000206,0.17606837412743365,15.066997741808576
psd_gamma_high,1.3549124876069931,0.26301397996583686,11.53536223641208
spectral_entropy,1.3432326096446607,0.2660163460506954,11.43592288191137
signal_coherence,1.1691721541070712,0.31514719974894184,9.954018755979812
psd_beta,1.0039649954948608,0.3703597724847082,8.547489230219764
psd_delta,1.003446541209124,0.3705477777217006,8.543075249210881
psd_theta,0.8520733790166762,0.42983206562640186,7.254324665883518
ptp,0.7493328468248126,0.4755138336681862,6.379619276395167
zcr,0.5016016048941745,0.6071888090582832,4.270501795314688
psd_gamma_low,0.2393135872869905,0.7876512407974666,2.0374518226828755
sample_entropy,0.17606415048324978,0.8388430387620264,1.4989630483496998
std,0.12488055581204639,0.8827500693421025,1.0631996241474424
variance,0.079855896542536,0.9233126167639985,0.6798717273309197
hjorth_activity,0.079855896542536,0.9233126167639985,0.6798717273309197
energy,0.05365798380646222,0.9477855184496217,0.45682971095518643
alpha_peak_freq,0.037545417844166325,0.9631652638262976,0.3196516373650354
