channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
O1,0.4690911847631229,1.0651269737599025,79.7930615214525,8.93269620671455,-0.1721636114525846,0.4379065895501934,0.071,80.01310806107497,60.88556712627548,7.717503475414916,0.90883823397167,1.200893552966576,0.5736953599665803,41.91795405339618,0.0286486680966548,0.7568016596696355,0.4777237404176052,20.5078125,2.1897182761726,0.7177754012150819,1.3797161429455322,79.7930615214525,0.2004792822014342,2.7070074747537998,3.2094213179544835,81,0.2088700132612115,12.20703125,1.8730669591997893,7.22609617917676,0.23985141174399,0.0109764889711581,0.049640764513803,4.909554081854975e-06,1.1575239354653022,0.7727519746549246,0.2707951255100431,m_et_s,m_et_s
Oz,4.823648545628613,1.2897556613208678,294.17071712352447,17.151405689433286,2.279823636488512,6.955669197776272,0.051,317.4383024152695,142.4148854610105,7.064969631129059,1.6955634156964472,1.7051604403596152,0.5457749214594855,44.62175290388217,0.0382136587962518,0.9943717761472672,0.320072474437879,19.53125,2.842080134657324,0.7026837197781354,1.3633626225620286,294.17071712352447,0.1566028793328199,3.3431656408462613,3.3374904364544378,56,0.250843705060448,11.71875,1.8365955499571025,6.770129628386993,0.2706017557703925,0.0017573643928819,0.0257243619095715,3.94651570590088e-05,1.2383277397977368,1.672254718142227,0.2948304597561113,m_et_s,m_et_s
O2,1.2715516715075328,1.319793935812868,106.08543230788656,10.299778264986417,0.2607982348991875,0.9791635492531,0.0605,107.70227596120016,83.45319308068923,6.393586922410169,1.2780363925824458,5.007457428880318,0.977058139424224,61.90978256271759,0.0808831370681608,0.255226611655532,0.1951206082729887,19.53125,2.332122367342353,0.6997634570411818,1.3187169355801684,106.08543230788656,0.2205611015678649,2.2855712639838424,3.825438299450944,71,0.2482529362431756,11.71875,5.624530210719711,7.147561731714007,0.3326657290488813,0.0062896122886461,0.0427778315413802,2.238771332850627e-05,1.0747314948941482,0.8400150885349249,0.2725362361228319,m_et_s,m_et_s
PO3,-0.6207173706390307,0.2103077825248646,125.8570449796324,11.218602630436305,-0.5663722391544302,0.4820424872289996,0.057,126.2423350338454,66.56965943606929,8.547638439710695,1.2239313937084493,2.688913922736017,0.6974801523418516,53.84893932706327,0.0499343897268674,0.4551768590878051,0.2593910301271948,17.578125,2.4175733496055103,0.6998259549608471,1.298472044506607,125.8570449796324,0.1817968258937959,2.6879709175679323,3.235519014431011,68,0.2928960844219574,12.20703125,4.508027835250049,7.239346878455006,0.3028127274418844,0.0212923371168176,0.0446708434802138,1.1484970067632422e-05,1.1514513559202249,0.4576674562038433,0.2892792768243173,m_et_s,m_et_s
PO4,4.7747142460902,1.6365304003979304,329.2135319338236,18.14424239073717,1.9261326762379496,5.914620003509876,0.063,352.0114280656403,160.78528614274074,10.07449188516283,1.6993056823206447,6.824303821845151,1.3309684464747251,88.27534570869673,0.0773070189310267,0.2490079173909328,0.1950335860215055,17.578125,2.898353286739461,0.687611157006408,1.323911279272707,329.2135319338236,0.1857096013587689,2.734169968905983,3.65896985211392,71,0.2383654552911147,11.71875,8.837467414764498,6.857647165659093,0.3034964402473048,0.0065768889092074,0.0580164160230065,9.511039157198758e-05,1.1292249339149962,1.7011952634382772,0.2370326981663078,m_et_s,m_et_s
TP7,-0.9088903858955012,-0.2021280304445554,64.21229645424741,8.01325754323717,-0.2815383427008673,-0.1569192129861569,0.0615,65.0383781878207,45.47527172998071,4.629681949647542,1.1708155643662732,0.93086954753561,0.3316619833590174,28.26570199701247,0.032932829605081,1.2577654596886294,0.3562926558689791,19.53125,2.08109736296796,0.711387623608785,1.3478648675235594,64.21229645424741,0.1845639576176661,2.9156326505514003,3.348607818051164,67,0.216267525275431,8.7890625,0.748285832563229,7.285647875572141,0.3525462726904811,0.0046261994140624,0.031787259888535,3.4576181495477184e-06,1.1764661910504663,0.5851771373024699,0.2851955469498077,m_et_s,m_et_s
TP8,6.617299306831898,3.3503187372194247,732.8091529008406,27.070447962692462,1.9804532332992448,6.659459436321473,0.0435,776.5978030170384,215.3542069400108,29.577855096640164,4.467046560926679,3.811528827968182,1.0519849961175844,140.78359677561645,0.0270736713314909,1.1719828873255391,0.2760007974748463,15.625,3.298442651800794,0.6882108604327314,1.3066835805608497,732.8091529008406,0.1380745261239718,3.698719915814004,3.145373402067177,56,0.23087683531752,11.71875,4.900798750101897,6.764937472029708,0.2889061910028945,0.0132710246999636,0.039335185400347,3.791261151372413e-05,1.2723854424480612,2.2586251319192256,0.2886624326094409,m_et_s,m_et_s
Fz,-2.516304898776223,-2.137240981699648,290.7164121471811,17.050407975974682,0.9153475327987968,4.56233564387413,0.053,297.0482024907863,124.84356995333265,8.50732680491833,3.174679394297224,3.0548633697063607,0.8577576596787361,65.87978934498659,0.0463702662087949,1.0392214021023074,0.280784295685599,17.578125,2.8361741316587743,0.6841050331703198,1.2894876934664412,290.7164121471811,0.1332578872731139,3.671613301009164,3.474047523445506,63,0.2810457899736837,10.25390625,2.010612954563272,7.057453197309164,0.357384113328196,0.0057239930298728,0.0211918934452513,3.106005473175926e-05,1.2382345611752503,3.6617872061892944,0.2989565185775349,m_et_s,m_et_s
O1,-0.1926955823215027,-0.1437004611672136,141.48894147188966,11.89491241968135,-0.025473514664329,1.381375855169351,0.0815839694656488,141.52607305933586,91.32536060818916,4.87434396748702,1.5163317880717335,12.030509218603058,0.8536184758294364,84.17552849409006,0.1429216951034375,0.1260405324927555,0.0709544758512354,20.5078125,2.476110780951973,0.7069539855903751,1.3201028571790727,141.48894147188966,0.2332550041294243,2.1792045715356663,3.756371312423276,90,0.3663905689811312,11.23046875,12.410689271416553,7.222808534541684,0.3411102998470275,0.0112997534796296,0.1377182745816844,2.1791917898455295e-05,0.9806564856583216,0.9862890248884372,0.2081826222927733,m_et_s,m_et_s
Oz,-0.3670291504500599,0.3131242573729622,156.68057299448412,12.517211070940848,-0.4931581581696499,1.421166032432338,0.0758587786259541,156.8152833917642,94.17457217913142,5.5557048551062325,2.130901261964542,11.697599589699752,0.9012689026582096,88.20395821982366,0.132619894002339,0.1821656866970291,0.0770473374256899,20.5078125,2.52710458295364,0.7031084837304269,1.2947344933005365,156.68057299448412,0.2255478606106872,2.190605392319249,3.9265938886122256,82,0.3924598168000727,11.23046875,12.68605436615173,7.207998263953271,0.3640523933095805,0.0074282748616555,0.1098180115564633,2.8185544333817186e-05,1.011208007768989,0.7887563859193543,0.2134996428298917,m_et_s,m_et_s
