Timestamp,O1,Oz,O2,PO3,PO4,TP7,TP8,Fz
0.0,-6.927791673660977e-13,-7.602807272633072e-13,-8.881784197001252e-13,2.0605739337042905e-12,-2.5082158572331537e-12,2.1458390619955026e-12,2.4584778657299466e-12,-1.6768808563938364e-12
0.004,-7.9166949840600225,-17.48505706220473,-26.80050214529293,-28.919296147136635,-42.164996056512116,-38.1933879509707,-14.707314403768322,-26.864214136018255
0.008,-14.526603511964332,-30.914978084909464,-47.373675219557086,-50.347143685362454,-74.06592515233203,-66.10627018451788,-25.68234827122624,-46.18072922060799
0.012,-18.77744118176603,-37.705587012022185,-57.923575062634946,-59.807363800874626,-89.57134907382763,-77.8390113974345,-30.618604923527045,-53.64128390505931
0.016,-20.14788359587192,-37.62410058906478,-58.39696495116166,-57.46966206069553,-88.8540938008048,-74.12072138495368,-29.456422290894743,-49.84922927418694
0.02,-18.849709954414898,-32.69823045528378,-52.08266866400522,-47.664263057384304,-77.63314353894728,-61.37200666627089,-24.229244516873273,-39.66368251212218
0.024,-15.850174899172192,-26.227054077805313,-43.797275998142844,-36.60874871380928,-64.00191588677313,-48.20623265509266,-18.04491632267146,-29.613701749000917
0.028,-12.591201069949076,-21.342429188101192,-37.60304297832029,-29.533147047252193,-54.564335120865685,-41.26348890682617,-13.677703193934732,-24.76213486793472
0.032,-10.440622431820703,-19.767023669087187,-35.20821544964339,-28.62175178191257,-51.83690629503633,-42.52866268018792,-12.427762383389279,-26.607861335908176
0.036000000000000004,-10.096704933592871,-21.297766509896242,-35.73897666330074,-32.657425606104205,-54.03754291069471,-49.32077400872157,-13.748537223197097,-32.95479865462852
0.04,-11.24178395934091,-24.179813666661197,-36.77692938334011,-38.283106292812064,-57.019496844347515,-56.579321468113534,-15.734517575216145,-39.58184860845163
0.044,-12.698035700927505,-26.14639441707579,-35.97465797814147,-42.026353735136134,-57.01351101761306,-59.94002301686281,-16.20827702264777,-42.652173750811635
0.048,-13.066039451051322,-25.616306441177066,-32.36043206879533,-42.010326705947904,-52.66508090401887,-57.895261016628666,-13.889338279907285,-40.601660931859456
0.052000000000000005,-11.56389404417914,-22.520631313067014,-26.780680558006345,-38.63066827495319,-45.48646462511209,-52.12002885742341,-9.14209092780375,-34.693345785429116
0.056,-8.625749126008124,-18.40923620917819,-21.44322714116678,-34.0974717169013,-38.80391130839859,-46.1594735047821,-3.9989603740287194,-28.200616116662538
0.06,-5.866862747836382,-15.783737038740615,-18.888540209150413,-31.242498749137287,-35.99025863539819,-43.42659321393194,-1.4195239573862466,-24.7982732851091
0.064,-5.368949379969045,-16.95396503950525,-20.919873068428217,-32.22565856028868,-38.928928582298106,-45.61529877969549,-4.0684619919237335,-26.9533856235624
0.068,-8.584712377601697,-22.91363114449389,-27.89651122762421,-37.67423800030012,-47.356668700628155,-52.1857692014852,-13.070084920850029,-34.98349875939745
0.07200000000000001,-15.435165556782035,-32.759309653560564,-38.61329231314206,-46.53214050341661,-59.20767628127605,-60.93797137634301,-27.28153853220725,-47.05000815175286
0.076,-24.11115641801498,-43.937650635859086,-50.73689963208693,-56.5631790182815,-71.59831471798134,-69.1600481584023,-43.45338648595858,-59.93719527819575
0.08,-31.711255562107475,-53.2086586179214,-61.549201146624746,-65.18458764980761,-81.87884918658955,-74.65891627240822,-57.259939263216474,-70.20022026086512
0.084,-35.444994415142624,-57.90239378559331,-68.74100952877481,-70.2813194959455,-88.30421435467278,-76.2643235200932,-64.83296436556864,-75.21423131846011
0.088,-33.816631912236616,-56.911163301437156,-71.01381238671992,-70.75612319902802,-90.21955122952244,-73.80972537743318,-64.16545577342667,-73.83201491190256
0.092,-27.216516451281976,-51.00191180471299,-68.36594543254482,-66.73017011742849,-87.91795681395982,-67.8908895874893,-55.816724734023495,-66.55498042852443
0.096,-17.67063070006272,-42.35395981884126,-62.010416990111366,-59.40187440730634,-82.36876106623279,-59.66009884754551,-42.61004713185371,-55.238177172098865
0.1,-7.901909528564076,-33.562809389641956,-53.901672743248994,-50.597741210268076,-74.89461862187639,-50.64692878076184,-28.42689073710318,-42.439222219865286
0.10400000000000001,-0.20637205765006073,-26.585615496071426,-46.02571216744058,-42.140847718215774,-66.78394480691078,-42.47113662702897,-16.653496276238165,-30.58204668563279
0.108,4.34246907452064,-22.085416037048713,-39.69273540956368,-35.246909591083096,-58.908085927286365,-36.39834225554004,-8.961084615391108,-21.216037547285318
0.112,6.034341588148264,-19.44784783975299,-35.16490027793675,-30.218735691906762,-51.522063023476036,-32.927095040867265,-4.982305347205234,-14.691607567931175
0.116,6.0467250399981225,-17.385006861500973,-31.80689054369838,-26.58767213703103,-44.37808435843465,-31.6741343663682,-2.9916205140206102,-10.393827645523483
0.12,5.712394179813312,-14.736574953237017,-28.62036524114736,-23.584351194670667,-37.088639841856626,-31.640282231881237,-1.1298023748581016,-7.366957461524727
0.124,5.90702309137145,-11.054885314775639,-24.877288873318122,-20.66439125788385,-29.522024524811144,-31.737484460573512,1.5039173923200195,-4.958112326219609
0.128,6.8274137476562515,-6.710440251116587,-20.50148928598103,-17.79722971180572,-22.020414645278173,-31.29151852303289,4.471259263318657,-3.1392700914664786
0.132,8.14513854900785,-2.5739493726673572,-16.057204781536946,-15.424673606467131,-15.36019723438914,-30.28960110774139,6.439888319406357,-2.383198506942044
0.136,9.330829566800283,0.46348406243192386,-12.433297605281389,-14.181170511400516,-10.51506809751799,-29.28001908888507,6.107161935105594,-3.2343855100297603
0.14,9.955402264736685,1.8745727145705473,-10.401637205381093,-14.532852873222009,-8.327993121138753,-28.96985867375512,3.0575977519004383,-5.851438348654469
0.14400000000000002,9.8210077898971,1.6098744852329823,-10.301541823797741,-16.52767278243568,-9.211568908716384,-29.75652482681297,-1.9398457280025099,-9.775724854845773
0.148,8.94936191751381,-0.02697261815353258,-11.967808955957906,-19.76188076990409,-13.000722732619288,-31.4553585909852,-7.318662018701758,-14.065493181383541
0.152,7.4956472673860635,-2.6173330633170835,-14.906216075109572,-23.57617370605641,-19.02175958535692,-33.40776027030451,-11.540573342383396,-17.724084482024285
0.156,5.666326955464822,-5.823420157751798,-18.566461725434884,-27.355057077002108,-26.31812139407611,-34.895292045052,-13.877824012622469,-20.156890259471908
0.16,3.6881200029393817,-9.433770614136145,-22.501321768853664,-30.721408820060617,-33.89127212012788,-35.53796442153799,-14.679822252528115,-21.373029372399877
