Timestamp,O1,Oz,O2,PO3,PO4,TP7,TP8,Fz
0,-5.12E-13,-2.33E-12,-1.48E-12,6.25E-13,-4.97E-14,-1.93E-12,1.82E-12,-1.85E-13
0.004,-126.0096142,-397.32742,-11.78667159,-155.9153497,-157.9857244,13.36357325,-188.5084067,43.77853988
0.008,-220.2225634,-690.4123216,-21.96912547,-271.4815299,-275.1394513,23.25728858,-328.8526224,75.45332101
0.012,-264.1457318,-820.2175366,-29.21686436,-323.4856404,-328.1413276,27.96418443,-393.4283698,88.6529153
0.016,-259.3874965,-795.3937597,-32.71322726,-314.4961695,-319.9254208,28.28736088,-385.5088208,85.3957439
0.02,-224.8087122,-681.2911899,-32.34320881,-268.9920836,-275.5379062,26.8763175,-334.4542698,74.29965717
0.024,-186.0112081,-562.9757799,-28.74611962,-219.6302661,-227.9333867,26.56043528,-279.0824252,65.50414422
0.028,-162.9568811,-503.0033664,-23.2064181,-191.3055206,-201.7098849,28.68796282,-248.5034422,65.25972269
0.032,-162.1807841,-516.4573606,-17.37798763,-191.3960321,-203.4245426,32.46079347,-250.572998,73.22016004
0.036,-176.9847579,-574.3581343,-12.86720098,-210.4619107,-222.7471015,35.63117769,-273.071385,83.7382648
0.04,-194.2059802,-629.3957754,-10.77969963,-231.3765278,-242.1652441,36.04544622,-295.0574393,90.01131952
0.044,-202.828429,-646.4940384,-11.36341402,-240.5584893,-248.5335697,33.0498054,-300.6191472,88.37062345
0.048,-199.4343356,-620.3405734,-13.91980331,-234.7515327,-239.693935,27.8987436,-287.0182502,80.17697246
0.052,-188.2413923,-572.5190362,-17.09380392,-220.5156867,-223.4157722,22.97736349,-263.7823022,70.46941937
0.056,-176.9087124,-533.6980419,-19.46916911,-208.2155182,-210.7628804,20.36984823,-244.9755287,64.53599994
0.06,-171.3105799,-523.6342703,-20.21893154,-204.9659441,-208.7146346,20.67520356,-240.1963165,64.6652382
0.064,-172.4936587,-541.1028635,-19.46730247,-210.8353174,-216.5195204,22.78842505,-249.6644197,69.01749275
0.068,-177.0989378,-567.9692856,-18.13931774,-219.9314186,-227.2917078,24.72849007,-265.4865632,73.12137763
0.072,-180.350137,-582.969668,-17.36654776,-224.9679292,-233.1395591,24.95845031,-277.4548764,72.88540011
0.076,-179.381183,-575.5464316,-17.79373652,-222.0580924,-230.2356534,23.3452232,-279.3368699,67.16548558
0.08,-174.6981241,-550.9228684,-19.20199763,-212.6709316,-220.6317856,21.15023359,-271.7651516,58.30137538
0.084,-169.1741943,-524.4344856,-20.69189969,-201.9440631,-210.1393553,20.07564049,-260.5586054,50.39206263
0.088,-165.6487328,-510.0965677,-21.34583598,-194.9557049,-204.1719052,20.98680609,-252.2702231,46.52886754
0.092,-165.0791839,-511.8526619,-20.98722648,-193.7550769,-204.6182884,23.16731869,-250.3305427,46.81184135
0.096,-166.4890828,-523.0079514,-20.54817772,-196.9964745,-209.649059,24.60837669,-254.1224801,48.37262843
0.1,-168.3000268,-532.6631114,-21.71556847,-201.7814786,-215.9049714,23.16258044,-260.7276277,47.28750218
0.104,-169.740248,-533.6533493,-25.94056465,-205.9188339,-221.0193241,17.88686193,-267.3915925,41.10663346
0.108,-171.1541505,-526.2872858,-33.34871351,-208.8863074,-224.5945921,9.759403865,-272.7589026,30.44100965
0.112,-173.1881986,-516.3455247,-42.23011683,-211.1913143,-227.3623077,1.359276222,-276.472488,18.75156557
0.116,-175.7289577,-509.9072119,-49.51276476,-213.0752203,-229.6421655,-4.300812415,-278.0916614,10.57340758
0.12,-177.4316151,-508.7931449,-52.0653724,-213.6767234,-230.4090538,-5.172224454,-276.459944,9.234233406
0.124,-176.2569022,-509.5728651,-48.17312501,-211.2974351,-227.6814787,-1.049438141,-270.1066512,15.30753398
0.128,-170.6219584,-506.2154007,-38.40210227,-204.4889672,-219.8622724,6.49015845,-258.311153,26.55110619
0.132,-160.503364,-494.4873354,-25.39078855,-193.242984,-207.1114042,14.97724574,-242.0954233,39.22996245
0.136,-147.8038133,-475.1968462,-12.67151152,-179.4724326,-191.7881832,22.24992525,-224.3741266,49.99912774
0.14,-135.6216942,-453.9050833,-3.155797179,-166.3036113,-177.4928153,27.28476135,-208.8769845,57.26173414
0.144,-126.80482,-437.4235896,1.964129508,-156.5448315,-167.2255492,30.3003236,-198.3968108,61.36583766
0.148,-122.6123281,-429.4981852,3.369262058,-151.2824811,-161.8377301,32.19262016,-193.4406981,63.73865297
0.152,-122.3631641,-428.8728262,2.830558634,-149.5992935,-159.8871336,33.75381279,-192.3019637,65.66576893
0.156,-124.2130537,-430.9595248,2.02886511,-149.5501855,-158.9700515,35.18437032,-192.5217348,67.50991397
0.16,-126.3133596,-431.2494132,1.685922865,-149.5017651,-157.4192127,36.11201711,-192.5394468,68.71224371
0.164,-127.5745242,-427.8799138,1.46567337,-148.8615658,-155.1495159,36.01282792,-192.3374868,68.39594759
0.168,-127.6566372,-421.7344902,0.576806005,-147.8207256,-153.1761691,34.70089005,-192.7429522,66.09167638
0.172,-126.5647326,-414.8453769,-1.417532001,-146.6559617,-152.4654116,32.55508747,-194.2320322,62.14971748
0.176,-124.4107639,-408.8440867,-4.149681098,-145.3418864,-153.125993,30.36970707,-196.3171025,57.63914915
0.18,-121.4514414,-404.2237055,-6.636902168,-143.6567677,-154.3813457,28.91594502,-197.8136216,53.80354644
0.184,-118.2455964,-400.5275212,-7.940627117,-141.5529182,-155.1777364,28.49063658,-197.6359268,51.37757917
0.188,-115.5841902,-396.85901,-7.815189634,-139.3347597,-154.8644644,28.73089324,-195.4478519,50.17495954
0.192,-114.2226468,-392.545091,-6.915016807,-137.5617116,-153.586506,28.81352841,-191.8575312,49.21981683
0.196,-114.5840263,-387.7531969,-6.410084841,-136.7900651,-152.2249028,27.94203066,-188.1395263,47.36751182
