index,true_label,predicted_label,channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
6,m_et_s,p_af_s,O1,-0.221164257,-0.074792107,75.30692243,8.677956121,-0.056507351,0.416885112,0.109824281,75.35583606,60.25380546,4.365441674,1.724843215,5.613855087,1.213496664,64.29405817,0.087315302,0.307247549,0.216161024,27.34375,2.160786031,0.721591042,1.422150108,75.30692243,0.336750088,1.659450624,4.575620703,214,0.384647266,11.23046875,5.37550218,8.51670887,0.320150453,0.007447043,0.157492501,3.56e-05,0.778047232,0.863092363,0.215846782,m_et_s,m_et_s
22,p_af_s,m_et_s,O1,-0.262317875,0.481681468,151.504921,12.30873352,-0.954213487,9.932289814,0.08965655,151.5737316,174.7199508,4.3502444,2.027165172,3.520144781,1.044012719,54.03220195,0.065149016,0.57587551,0.296582324,25.390625,2.510309053,0.713638492,1.380032935,151.504921,0.218450905,2.473444458,4.445200401,189,0.283387154,11.71875,3.914230044,8.298294837,0.296305625,0.006558323,0.067984838,4.04e-05,0.902426573,1.458920064,0.255072763,p_af_s,p_af_s
23,p_af_s,m_et_s,O1,1.049676386,0.137960783,150.0940968,12.2512896,3.765932238,26.07361893,0.076522436,151.1959173,178.1991606,5.814956597,1.442081269,2.440123187,0.675205451,45.12738574,0.054071893,0.590987077,0.276709576,24.4140625,2.505631205,0.716685587,1.355421027,150.0940968,0.202515427,2.565330616,4.325599405,167,0.260042174,12.6953125,2.207586894,8.297511156,0.258153735,0.006395898,0.038467426,8.15e-06,0.884681462,3.939843574,0.293726574,p_af_s,p_af_s
25,p_af_s,m_et_s,O1,0.024917617,-0.069676807,89.09640031,9.439088955,-0.049995002,0.069267031,0.08213141,89.0970212,62.74881559,5.353118062,2.647545132,2.991855855,0.876562473,54.39508266,0.055002322,0.884917343,0.292982856,25.390625,2.244859467,0.712923196,1.354683753,89.09640031,0.254908671,2.068318234,4.268577157,175,0.366076604,11.23046875,4.248287847,8.547877916,0.350637509,0.008779746,0.076137027,4.02e-05,0.866165954,0.886598138,0.257224019,p_af_s,p_af_s
26,p_af_s,m_et_s,O1,-0.165344297,-0.029383172,62.36878454,7.897390996,-0.233625431,0.630268469,0.113581731,62.39612328,71.54731282,4.693026923,1.661330381,2.829383507,1.163582389,52.98641933,0.053398277,0.587170448,0.411249442,29.296875,2.066532451,0.737579751,1.478673166,62.36878454,0.364684448,1.629309877,4.774417156,221,0.344036189,11.71875,4.214513603,8.545611921,0.351107645,0.01029849,0.168405882,1.02e-05,0.724863087,1.198638798,0.239167928,p_af_s,p_af_s
31,p_af_s,m_et_s,O1,-0.176679928,0.05541908,54.43594043,7.378071593,-0.439582789,0.685533629,0.108626198,54.46715623,50.82529889,4.000729647,1.509512007,2.442719524,0.963160889,45.14801107,0.054104698,0.617963705,0.3942986,27.34375,1.998512303,0.731218899,1.442826422,54.43594043,0.329270213,1.72617373,4.605898587,209,0.324599091,11.71875,2.867345055,8.549380393,0.282323795,0.008108509,0.091646286,2.81e-05,0.791013451,0.759511628,0.263131489,p_af_s,p_af_s
35,m_et_s,p_af_s,O2,-1.590275391,0.476664562,480.6882957,21.9246048,-4.591683808,39.05853338,0.066094249,483.2172715,397.1009645,4.82402785,1.749306485,3.361317882,1.051204562,53.83626313,0.062435943,0.520422806,0.312735837,23.4375,3.087609513,0.693393014,1.33780963,480.6882957,0.167578778,3.139356884,4.300222906,159,0.324267122,11.71875,2.763216624,7.761244563,0.30267399,0.0104619,0.040074655,3.69e-05,0.991736145,3.940015798,0.262712478,m_et_s,m_et_s
38,m_et_s,p_af_s,O2,0.068194582,0.752182384,114.4027734,10.69592322,-0.317953461,1.891383393,0.095953526,114.4074239,105.7588001,3.849960928,2.035510417,6.282669228,1.47040031,71.28980695,0.088128577,0.323988156,0.234040701,27.34375,2.369862661,0.712558485,1.370902883,114.4027734,0.298502465,1.785075435,4.567576986,201,0.402467284,11.23046875,7.935260324,8.447625679,0.346621748,0.009771462,0.113908512,1.49e-05,0.822344551,1.00087259,0.223530407,m_et_s,m_et_s
39,m_et_s,p_af_s,O2,-0.121190455,0.110574514,111.3958328,10.55442243,-0.41404969,2.371979884,0.102635783,111.41052,121.9886796,3.343674833,2.110672302,10.19414725,1.554379786,87.22913887,0.116866306,0.207047461,0.152477667,25.390625,2.35654496,0.706570822,1.359161826,111.3958328,0.31534357,1.670273872,4.40799367,202,0.378478024,11.23046875,11.75688407,8.402006327,0.285495062,0.014283637,0.155470627,2.7e-05,0.755699025,0.938039702,0.204257254,m_et_s,m_et_s
40,m_et_s,p_af_s,O2,1.383818611,0.852936709,122.4459651,11.06553049,0.908290749,4.172689063,0.091947115,124.360919,103.2598751,3.461079827,2.417143356,6.07906697,1.143627367,64.9533734,0.093591243,0.397617491,0.188125476,25.390625,2.403834916,0.715908497,1.3464953,122.4459651,0.2625885,1.976907314,4.434533308,190,0.360154771,11.23046875,8.221153081,8.41226658,0.319421182,0.007412639,0.091211897,1.5e-05,0.846539111,0.97002233,0.240848411,m_et_s,m_et_s
43,m_et_s,p_af_s,O2,0.011636011,0.775458592,118.371715,10.87987661,-0.206715334,4.451376704,0.080870607,118.3718504,134.4647812,4.129419693,2.053388932,5.417073253,1.161031465,63.16867419,0.08575569,0.379058734,0.214328183,24.4140625,2.3869149,0.704228259,1.327898113,118.371715,0.249568011,2.045385884,4.34722949,183,0.389297007,11.23046875,6.397369135,8.337652307,0.356693412,0.015838107,0.070825674,2.57e-05,0.893019817,0.955529333,0.244195632,m_et_s,m_et_s
64,p_af_s,m_et_s,O2,-0.770499386,0.254336176,93.65823538,9.677718501,-1.285199148,3.829429993,0.086261981,94.25190468,88.09917161,4.853540997,1.782062493,5.26152754,1.047755465,61.59458149,0.085421922,0.338696791,0.199135224,25.390625,2.269826181,0.706526673,1.331820289,93.65823538,0.270069255,1.894776612,4.343739786,180,0.370242477,11.23046875,7.349991474,8.401841721,0.301491775,0.017007347,0.065299725,5.89e-05,0.825980763,0.665981259,0.224003801,p_af_s,p_af_s
71,m_et_s,p_af_s,Oz,0.213471992,0.729898805,117.6114695,10.84488218,0.355294422,6.749565138,0.103365385,117.6570397,147.1280353,3.563675847,1.428731572,3.10604415,1.170557533,49.90016602,0.062245167,0.459984309,0.376864422,29.296875,2.38369328,0.733747635,1.435710584,117.6114695,0.279246083,1.997203222,4.590841588,203,0.350399642,11.23046875,5.069258492,8.395176565,0.324667513,0.006342556,0.143151531,1.68e-05,0.86522426,0.816998609,0.232521469,m_et_s,m_et_s
73,m_et_s,p_af_s,Oz,1.620437449,0.697921508,126.532426,11.2486633,1.6947713,7.320555599,0.090544872,129.1582436,123.1680959,4.234273187,1.928117726,3.569693184,0.9786565,52.3098802,0.06824128,0.540135419,0.274157035,26.3671875,2.420249304,0.721043906,1.380197024,126.532426,0.239481542,2.251709721,4.383924172,188,0.360229492,11.23046875,4.028198989,8.348985293,0.335178748,0.008951019,0.089624409,2.02e-05,0.89799158,0.733829197,0.26120105,m_et_s,m_et_s
89,p_af_s,m_et_s,Oz,1.001971583,0.500920084,116.1477207,10.77718519,2.735333924,19.83543411,0.081330128,117.1516677,165.0268692,5.756614355,2.238163535,2.738935253,0.822491319,51.98308197,0.052688974,0.817165551,0.300296007,24.4140625,2.377431418,0.709299738,1.34027027,116.1477207,0.232820896,2.219156105,4.447407941,177,0.319652555,12.6953125,2.439247742,8.312348966,0.341894173,0.007160362,0.04576927,1.8e-05,0.847538105,2.988275286,0.284607585,p_af_s,p_af_s
90,p_af_s,m_et_s,Oz,-2.384901058,0.178098975,196.1675808,14.00598375,-2.861703121,12.73475039,0.063897764,201.8553338,145.1777859,6.219141563,2.707371642,3.852010778,0.87550633,60.65406831,0.063507872,0.702846331,0.227285535,21.484375,2.639484649,0.692245573,1.303285206,196.1675808,0.192774869,2.649856813,4.264219248,153,0.314627841,10.7421875,3.333137943,8.179531254,0.314353554,0.009350528,0.032308334,3.82e-05,0.95279414,1.680040756,0.279623023,p_af_s,p_af_s
94,p_af_s,m_et_s,Oz,-0.252179784,0.175089895,124.7403343,11.16872125,-0.638868882,8.314944617,0.103766026,124.803929,160.8505902,3.823501594,1.849500697,3.082229504,1.310363196,54.78396312,0.056261529,0.600052882,0.425134856,27.34375,2.413117126,0.726180158,1.425824612,124.7403343,0.272275783,2.041269724,4.693708228,205,0.408334521,11.71875,4.290750405,8.359875902,0.358804948,0.015285256,0.131819086,1.39e-05,0.842434779,1.300342918,0.235548815,p_af_s,p_af_s
97,p_af_s,m_et_s,Oz,-0.426699543,0.186851496,66.45165698,8.151788575,-1.073988789,3.744725273,0.087460064,66.63372948,78.08817556,5.165098544,1.513816796,3.024588984,0.840120976,48.77109632,0.062016014,0.500503309,0.277763683,24.4140625,2.09823736,0.713506061,1.352413059,66.45165698,0.273460204,1.899833647,4.38370339,182,0.378665475,11.23046875,4.055627236,8.426361604,0.313676837,0.011916024,0.050260691,2.88e-05,0.835800389,0.624517847,0.238291899,p_af_s,p_af_s
104,m_et_s,p_af_s,PO3,-0.006683618,0.525142071,87.89892182,9.375442487,-0.243535507,0.928234198,0.09375,87.89896649,90.23456001,4.646973116,1.907520609,4.534915206,1.369416145,64.36015321,0.070461535,0.420629829,0.30197172,27.34375,2.238093769,0.717959279,1.378383677,87.89892182,0.314908404,1.695281171,4.574819186,195,0.282336094,11.23046875,7.05425659,8.515391536,0.299587963,0.005983997,0.117459322,1.54e-05,0.771367519,1.057103734,0.247840599,m_et_s,m_et_s
106,m_et_s,p_af_s,PO3,0.736289033,0.613503872,93.91236406,9.690839183,0.028492331,0.829831816,0.086538462,94.4544856,74.38491108,6.611705492,2.658875198,4.452209566,1.151751045,69.01097435,0.064514515,0.597203514,0.258692011,24.4140625,2.271181025,0.715117624,1.356421285,93.91236406,0.271726694,1.937050309,4.383950263,185,0.330949988,12.20703125,4.778358393,8.479720671,0.328082333,0.017294738,0.089447514,1.66e-05,0.830026262,1.050216854,0.252225402,m_et_s,m_et_s
