index,true_label,predicted_label,channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
15,n_3_s,m_et_s,O1,0.578941857,0.441194982,71.80748135,8.47392951,0.733225286,2.94582496,0.102835463,72.14265502,77.91034591,3.504777652,1.461666748,2.078479167,0.927652378,41.37265942,0.050237988,0.703238585,0.446313051,28.3203125,2.136994334,0.733992545,1.4589947,71.80748135,0.291179801,1.963334355,4.670527301,205,0.331686542,11.71875,2.582934509,8.505808673,0.282962748,0.010626536,0.098167799,2.87e-05,0.863064325,0.745093458,0.26567175,n_3_s,n_3_s
16,n_3_s,m_et_s,O1,-0.200414927,0.247035574,81.87488049,9.048473932,-0.398825205,0.686375665,0.107827476,81.91504663,69.56012923,4.618449043,1.738625175,4.698884873,1.294180899,62.9006435,0.074703288,0.370008039,0.275422985,29.296875,2.202596117,0.734192656,1.445010815,81.87488049,0.338389326,1.714407556,4.668472454,205,0.38468987,10.7421875,6.890053588,8.502441858,0.328392757,0.010960202,0.245049213,2.12e-05,0.767315515,0.801762328,0.224833871,n_3_s,n_3_s
17,n_3_s,m_et_s,O1,0.243149456,0.495698593,74.32538816,8.621217324,-0.059655289,1.07137121,0.122603834,74.38450981,76.98286438,3.864721077,1.462926618,3.788012927,1.439575513,58.51028065,0.06474098,0.386198951,0.380034478,29.296875,2.154226296,0.738896947,1.45742663,74.32538816,0.35245518,1.667262897,4.779770719,223,0.336875182,10.7421875,4.604147127,8.569102651,0.301067225,0.009274999,0.138892069,1.37e-05,0.723783867,1.253994221,0.251625651,n_3_s,n_3_s
18,n_3_s,m_et_s,O1,0.517750765,0.569778229,67.73118752,8.22989596,0.422388389,3.066893288,0.102764423,67.99925337,78.65060358,3.553320385,2.046708181,2.703828249,0.94916406,46.74705995,0.057839536,0.756966786,0.351044509,27.34375,2.107773373,0.735406287,1.430644349,67.73118752,0.305555597,1.863217366,4.730101335,205,0.369831236,11.23046875,3.433484959,8.495753002,0.341809417,0.008528853,0.087082653,1.38e-05,0.785927986,1.312923048,0.276497028,n_3_s,n_3_s
19,n_3_s,m_et_s,O1,-0.48114129,-0.03940722,61.97321426,7.872306794,-0.528578059,1.143447297,0.104166667,62.2047112,65.57237046,3.766372406,1.496413388,2.771936123,1.004319355,46.45026364,0.059675358,0.53984411,0.362316919,27.34375,2.063351132,0.728721228,1.426441456,61.97321426,0.309300586,1.808139131,4.687950638,207,0.324092483,11.23046875,2.957442692,8.555230132,0.367602847,0.007789869,0.076215804,1.76e-05,0.796481413,1.196105133,0.26577316,n_3_s,n_3_s
20,n_3_s,m_et_s,O1,0.007804488,0.08203976,53.53389407,7.316686004,-0.05409873,1.067649665,0.107827476,53.53395498,58.88344455,2.31310314,1.836654246,2.268256452,0.994602483,41.2617969,0.054972314,0.809720719,0.438487668,28.3203125,1.990157494,0.734129665,1.438555309,53.53389407,0.332139114,1.726412845,4.770664117,215,0.23816599,11.23046875,2.965097063,8.517784236,0.343094024,0.012232039,0.120264197,1.59e-05,0.733919834,1.098930253,0.268949561,n_3_s,n_3_s
21,n_3_s,m_et_s,O1,-0.20605172,0.079574116,57.79598225,7.602366885,-0.286584127,0.354203901,0.101762821,57.83843956,53.96950328,3.278166619,1.64032288,2.207771721,0.938315735,42.11656149,0.052420512,0.742976669,0.425005777,28.3203125,2.028459631,0.730454788,1.442163064,57.79598225,0.328085187,1.747163105,4.714884191,202,0.38544896,11.23046875,2.51471627,8.521719317,0.309133675,0.007266747,0.119150406,2.59e-05,0.780524059,1.203743923,0.256956331,n_3_s,n_3_s
49,n_3_s,m_et_s,O2,-0.259611058,0.54656962,137.8442469,11.74070896,-0.821424641,4.484976661,0.093051118,137.9116448,129.9144961,5.293643966,2.108170329,7.195795541,1.43407643,78.91017112,0.091189709,0.292972517,0.19929366,26.3671875,2.463062201,0.713568635,1.344734602,137.8442469,0.273258809,1.928088393,4.42581847,194,0.398158948,10.7421875,9.353271566,8.419524403,0.360972204,0.016134575,0.145790597,3.44e-05,0.797489167,0.708021436,0.204795899,n_3_s,n_3_s
52,n_3_s,m_et_s,O2,-1.1374139,0.161823699,115.6927361,10.75605579,-1.43213913,4.411492802,0.08213141,116.9864464,90.58167231,4.183776305,1.732017399,6.505360191,1.139427319,66.01053102,0.098550339,0.266244658,0.175152072,24.4140625,2.375468925,0.69257279,1.288670597,115.6927361,0.254261351,1.936982762,4.376614886,169,0.506831173,11.23046875,9.746446508,8.426735019,0.354989035,0.012160227,0.057698063,7.16e-06,0.81649639,1.791901182,0.186520451,n_3_s,n_3_s
54,n_3_s,m_et_s,O2,-0.687253158,0.021366505,85.7323189,9.25917485,-0.623055576,1.270396947,0.079326923,86.20463581,84.83861596,5.427225608,2.280714922,4.003577577,1.025534126,59.87846108,0.066861731,0.569669222,0.256154428,24.4140625,2.225614936,0.713486073,1.347435451,85.7323189,0.275137241,1.898274344,4.451513738,173,0.299392361,11.23046875,3.80724339,8.436298281,0.289439782,0.007549131,0.06922042,5.27e-05,0.841986443,0.658042008,0.249021523,n_3_s,n_3_s
