feature,f_score,p_value,selected
skewness,21.81699233472107,1.58631462725266e-05,True
mean,14.339941548237105,0.000339254863902021,True
dfa,4.636680119656723,0.0350695478924507,True
perm_entropy,2.297378276655733,0.13451639512546823,True
higuchi_fd,1.7118358705231584,0.19542675526873554,True
psd_gamma_low,1.6427163017751236,0.20457715663712428,True
alpha_peak_freq,1.5234870926787998,0.2216056142852883,True
ind_alpha_power,1.5138086014441017,0.22306202339765985,True
median,1.4103279661592663,0.23939085685853276,False
microstate_var,1.0394808364284536,0.31178092878401964,True
psd_gamma_high,0.7812721778332475,0.3800607875652312,False
hjorth_complexity,0.7123376297827178,0.40181262531051776,True
phase_locking_value,0.6805593897560906,0.41245846765482896,False
dyn_conn_variance,0.6362581457137751,0.4280186928440618,False
sample_entropy,0.5847219052986619,0.44727781886059026,False
wavelet_complexity,0.5536698999977115,0.459545350882013,False
spectral_edge,0.5111458185432349,0.4772432174449823,False
std,0.3601092558769211,0.5505645260828969,False
ptp,0.30465776427131475,0.5828993891197642,False
ratio_beta_alpha,0.2699822867995608,0.6051361421679038,True
kurtosis,0.22349243329073257,0.6379999305684658,False
energy,0.1987087762406956,0.6572694856210639,False
hjorth_mobility,0.18613881803362708,0.6675997354695714,False
variance,0.18382832365721768,0.6695433805035755,False
hjorth_activity,0.18382832365721768,0.6695433805035755,False
spectral_entropy,0.18140232378972684,0.6715998481911531,True
energy_ratio,0.15187631809818394,0.6980425774380205,True
rel_alpha,0.1485923610050645,0.7011624715601121,True
lempel_ziv,0.08054088236311997,0.7774818557957467,False
ratio_theta_alpha,0.07927280904218167,0.7791936753273854,True
psd_alpha,0.06277352192370046,0.8029673783675219,False
psd_delta,0.040708165502133284,0.8407422256136075,False
psd_beta,0.03438431068936288,0.853478146286264,False
total_power,0.01881963159835181,0.8913154991747858,False
psd_theta,0.012428286898116151,0.911582856737597,False
signal_coherence,0.00927274051534886,0.9235871306633019,False
zcr,0.006284729927205219,0.9370602264837321,False
