feature,f_score,p_value,selected
alpha_peak_freq,11.490566037735858,0.0015323182020983434,True
signal_coherence,7.408593781124573,0.009409194396515231,True
energy_ratio,5.5291536171074736,0.023468811969835374,True
dfa,2.4936076897951662,0.12181231688200674,False
spectral_entropy,1.8216917226976985,0.18434227858690475,False
skewness,1.501576653402449,0.22725640717239573,True
mean,1.410128450095053,0.24170772046340022,True
microstate_var,1.2813030247798585,0.26407842189229774,False
lempel_ziv,1.2701006979373,0.26614557453255144,False
psd_gamma_high,1.1972940217869505,0.2800990214817774,False
median,1.0440951363216924,0.31272075786879544,False
ratio_beta_alpha,0.7753328715108914,0.3835832797416654,False
rel_alpha,0.6611737959301238,0.42073152496362665,False
spectral_edge,0.5371702637889688,0.4676788870851327,False
zcr,0.50265289865535,0.4822538971132766,False
hjorth_mobility,0.46161018049470315,0.50059990074517,False
kurtosis,0.3134292276767462,0.5785573213725846,False
psd_gamma_low,0.24717479941260223,0.6216641816725025,False
dyn_conn_variance,0.2419747812447771,0.6253447593908421,False
hjorth_complexity,0.23599668556812944,0.6296374742525513,False
psd_delta,0.20459198739989332,0.6533672371922163,False
perm_entropy,0.19145618468729694,0.66394930928722,False
psd_alpha,0.1596272096217088,0.6915245294503681,False
psd_theta,0.09382220539859348,0.7608864290695958,False
ratio_theta_alpha,0.06402676994634889,0.8014755079007032,False
psd_beta,0.045780534193349945,0.8316106083076825,False
sample_entropy,0.037930582355256634,0.8465216498294501,False
std,0.029152631756912767,0.865246992962724,False
phase_locking_value,0.020568348644204138,0.8866469893824531,False
higuchi_fd,0.019282441260895282,0.8902235044272505,False
ptp,0.01805543865786043,0.8937514410405072,False
variance,0.017001099701049637,0.8968817676087418,False
hjorth_activity,0.017001099701049637,0.8968817676087418,False
wavelet_complexity,0.016942411748110682,0.8970588757839315,False
total_power,0.016818552160645386,0.8974336857239664,False
energy,0.015611914585248724,0.9011611394824804,False
ind_alpha_power,0.00043978907812981013,0.9833679857128196,False
