index,true_label,predicted_label,channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
5,m_et_s,n_3_s,O1,0.39114341,0.423840572,75.40390838,8.683542387,0.172095794,1.533487254,0.106971154,75.55690155,88.44132497,4.555051853,1.28489177,2.489809586,1.032637878,47.35144278,0.052581494,0.516060255,0.414745723,29.296875,2.161429555,0.741619457,1.454429708,75.40390838,0.322284356,1.797836434,4.573577278,211,0.371236928,11.23046875,4.474075255,8.483997454,0.337657831,0.009032012,0.176038823,1.38e-05,0.809331648,0.740917092,0.239735535,m_et_s,m_et_s
6,m_et_s,n_3_s,O1,-0.221164257,-0.074792107,75.30692243,8.677956121,-0.056507351,0.416885112,0.109824281,75.35583606,60.25380546,4.365441674,1.724843215,5.613855087,1.213496664,64.29405817,0.087315302,0.307247549,0.216161024,27.34375,2.160786031,0.721591042,1.422150108,75.30692243,0.336750088,1.659450624,4.575620703,214,0.384647266,11.23046875,5.37550218,8.51670887,0.320150453,0.007447043,0.157492501,3.56e-05,0.778047232,0.863092363,0.215846782,m_et_s,m_et_s
7,m_et_s,n_3_s,O1,0.745529717,0.740589779,69.50039009,8.336689396,0.283498576,1.35498137,0.08994391,70.05620465,73.83456346,4.541965977,1.911143879,2.402122362,0.866316224,46.47265492,0.051688942,0.795606381,0.360646167,27.34375,2.120666183,0.728169004,1.413693011,69.50039009,0.284456512,1.9524065,4.457683215,186,0.324927366,11.23046875,3.027192038,8.47080739,0.325089001,0.010410184,0.087589246,1.34e-05,0.83970713,0.838639531,0.269210647,m_et_s,m_et_s
8,m_et_s,n_3_s,O1,-0.072364925,0.282245786,54.50568226,7.382796371,-0.308281744,0.492437281,0.090055911,54.51091894,56.76071704,4.345216125,1.616905253,1.716856927,0.816055433,41.05969489,0.04181368,0.941782176,0.475319417,26.3671875,1.999152479,0.729210111,1.435564227,54.50568226,0.307696304,1.836531988,4.553585269,194,0.301531686,8.7890625,1.946873594,8.509892985,0.34823879,0.005710072,0.079984419,9.2e-06,0.822282354,1.08426333,0.291931132,m_et_s,m_et_s
12,m_et_s,n_3_s,O1,-0.279051663,0.384519494,69.9897625,8.365988435,-0.95586866,4.5282557,0.095646965,70.06763233,89.17048489,2.819883966,1.184170747,4.143547817,0.687604619,42.14740929,0.098310854,0.285786674,0.165945863,26.3671875,2.124174491,0.715823059,1.362709787,69.9897625,0.265320472,2.016945125,4.30064029,198,0.380887279,11.71875,3.884083698,8.448205545,0.291545696,0.012709268,0.061645147,1.46e-05,0.851286307,0.885279412,0.209660353,m_et_s,m_et_s
14,m_et_s,n_3_s,O1,1.500871232,0.504861787,93.6490368,9.677243244,1.905666812,7.966744649,0.09755609,95.90165126,109.2294056,2.799495857,1.168555261,1.107473566,0.622457663,28.70684081,0.038578734,1.055154089,0.562051937,28.3203125,2.269777072,0.729803303,1.44481715,93.6490368,0.232705658,2.452748231,4.345551822,196,0.264465483,11.71875,2.574139391,8.374627229,0.250036277,0.014002936,0.103710419,1.62e-05,0.947574193,0.912019314,0.255061274,m_et_s,m_et_s
15,n_3_s,m_et_s,O1,0.363537659,0.599744062,87.76086543,9.368076933,0.632072557,5.603925471,0.076923077,87.89302506,104.6829768,7.62362078,1.885951334,2.619858905,0.960840675,58.18923545,0.045023085,0.719867521,0.366752833,23.4375,2.237307839,0.702331363,1.32205032,87.76086543,0.246374898,2.073073911,4.300679396,166,0.328363643,11.71875,3.469575841,8.462961593,0.327467742,0.011828303,0.047489398,1.38e-05,0.803961594,1.208209596,0.27238154,n_3_s,n_3_s
16,n_3_s,m_et_s,O1,2.207805171,0.673784022,196.0518455,14.0018515,4.05712016,26.37618957,0.070886581,200.9262492,185.4854105,4.041833862,1.601540281,1.812866128,0.736105266,39.033022,0.046444422,0.883429977,0.406045021,21.484375,2.639189571,0.716216479,1.380919717,196.0518455,0.18428691,2.885395098,3.422181521,156,0.318111919,11.71875,2.112985356,8.179300934,0.295302552,0.010642942,0.070713769,4.68e-05,1.020681862,0.241814771,0.2521836,n_3_s,n_3_s
17,n_3_s,m_et_s,O1,0.613297062,0.570241245,148.8785203,12.2015786,1.913265507,16.17531974,0.074519231,149.2546535,180.2468478,4.231128837,1.888707313,2.767011325,0.712933504,44.14906415,0.062674292,0.682580261,0.257654711,21.484375,2.501565337,0.687403384,1.324849558,148.8785203,0.194581444,2.606564304,3.968208877,167,0.265812195,11.71875,2.478223557,8.197494346,0.314993334,0.008688648,0.029608242,5.48e-05,0.949523297,0.623042477,0.27040242,n_3_s,n_3_s
18,n_3_s,m_et_s,O1,0.163364548,0.185409591,73.02652585,8.545555912,-0.125417517,0.706711584,0.083733974,73.05321382,71.85368316,6.433103283,2.266085852,2.751108402,0.94817649,56.43526369,0.048748038,0.823699223,0.344652537,25.390625,2.145411371,0.712955005,1.369958331,73.02652585,0.275466315,1.938769213,4.375124032,182,0.353131584,11.23046875,3.698420719,8.531224911,0.29789429,0.010813293,0.06708656,7.88e-06,0.818370087,1.191888848,0.239092581,n_3_s,n_3_s
19,n_3_s,m_et_s,O1,0.578941857,0.441194982,71.80748135,8.47392951,0.733225286,2.94582496,0.102835463,72.14265502,77.91034591,3.504777652,1.461666748,2.078479167,0.927652378,41.37265942,0.050237988,0.703238585,0.446313051,28.3203125,2.136994334,0.733992545,1.4589947,71.80748135,0.291179801,1.963334355,4.670527301,205,0.331686542,11.71875,2.582934509,8.505808673,0.282962748,0.010626536,0.098167799,2.87e-05,0.863064325,0.745093458,0.26567175,n_3_s,n_3_s
23,n_3_s,m_et_s,O1,-0.48114129,-0.03940722,61.97321426,7.872306794,-0.528578059,1.143447297,0.104166667,62.2047112,65.57237046,3.766372406,1.496413388,2.771936123,1.004319355,46.45026364,0.059675358,0.53984411,0.362316919,27.34375,2.063351132,0.728721228,1.426441456,61.97321426,0.309300586,1.808139131,4.687950638,207,0.324092483,11.23046875,2.957442692,8.555230132,0.367602847,0.007789869,0.076215804,1.76e-05,0.796481413,1.196105133,0.26577316,n_3_s,n_3_s
