index,true_label,predicted_label,channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
187,a_pu_b,a_c_b,PO3,-0.2386731668658473,0.293438692876748,76.56588032119645,8.7501931590792,-0.4992177652360672,1.181756145404834,0.0797275641025641,76.62284520177822,62.27938453266359,5.726611010170127,2.503427029415034,3.376997200656705,0.9746639325788726,58.24548073721704,0.0579786990838399,0.7413174724954487,0.2886185195502488,24.4140625,2.1690757754606325,0.7043469164119452,1.3220205750034664,76.56588032119645,0.2768232166424187,1.8317517343829184,4.478648261600247,102,0.2863216023832223,12.6953125,4.573563940056376,7.50135114251156,0.303643090762666,0.0119818145652656,0.0650514432251064,1.1750733648101194e-05,0.8338777036790007,0.9891751646865036,0.3190390797663289,a_pu_b,a_pu_b
182,a_c_b,a_pu_b,TP8,0.6801175229665386,2.0637574995228647,110.75929731521808,10.524224309430984,-1.128560622756232,3.7055861128060457,0.0661057692307692,111.22185716026422,102.90586084621036,7.512642881792001,4.850208853814847,4.389859736188466,1.6507006867698382,89.21081536724634,0.0492077078111786,1.1048664753070407,0.3760258381747461,23.4375,2.3536796770454487,0.7074724930567744,1.334742540032227,110.75929731521808,0.2922363384890186,1.7418217609824211,4.502337755587072,91,0.2170811823759557,9.27734375,4.038336232271029,7.3807040747921135,0.329671904095082,0.0082659257782866,0.0761122308724335,2.0962390284411e-05,0.8914062863529931,1.1095439098013562,0.306220291163217,a_c_b,a_c_b
183,a_c_b,a_pu_b,Fz,0.1055325779223715,0.6857842603938025,187.26302281763847,13.684408018531109,-0.3222998150412839,2.294446252662641,0.0540865384615384,187.2741599426414,127.95288615101714,11.600136978216613,5.895761086981533,8.949853244803242,1.4829695049231784,120.87631935040616,0.0740414110298864,0.6587550572859867,0.1656976337331865,21.484375,2.61625708387568,0.6839315359527911,1.2690093319677869,187.26302281763847,0.2262521928443621,2.112545796954059,4.273589800973402,79,0.3330806199199442,11.23046875,7.691637134078391,7.335641598944029,0.3311785365201785,0.0037946773242207,0.0447456825200986,2.149217727873174e-05,0.9866011197339932,0.9107702654361636,0.2968822990382695,a_c_b,a_c_b
191,a_pu_b,a_c_b,Fz,-0.3895280088438215,0.4139850171251282,193.40340613496417,13.906955315055994,-0.5959364885686831,1.8403236926959297,0.0588942307692307,193.555138204638,106.0908910601102,10.781492731534994,4.082458818894008,6.579861661132179,1.385508325764999,99.93290997847971,0.0658427905536738,0.6204475153344713,0.2105680023562377,20.5078125,2.6323890973724504,0.6912075194070932,1.292051382840728,193.40340613496417,0.2093530914206312,2.328496918403088,4.137428186284619,84,0.329845458874434,11.23046875,5.30584045901269,7.35757346606724,0.3118415245115439,0.0076782758217202,0.0511310487349831,1.2890527094855935e-05,1.0575958422978042,0.8731033287470357,0.277629488175581,a_pu_b,a_pu_b
278,a_c_b,a_pu_b,TP8,-0.984426104760718,1.0631475384266196,181.3341515349572,13.466036964710783,-2.000499716297251,6.942022149034568,0.0725160256410256,182.3032462906915,103.38382332527448,6.871593644528647,3.381062791344179,2.914476762943893,1.3918759833616745,70.85070685124836,0.0411354648735242,1.160092553947485,0.4775731963482015,24.4140625,2.6001707351669068,0.7137302806010767,1.3385425362405696,181.3341515349572,0.214425747430986,2.3669761002844445,4.468494986544033,100,0.3452934765360028,8.7890625,4.132248750962278,7.304639992441886,0.3420301046063876,0.0129201262234243,0.0661567127608052,3.1078530471802033e-05,1.0198301056667995,2.549068917653347,0.3040714942564156,a_c_b,a_c_b
279,a_c_b,a_pu_b,Fz,-2.6155875651153866,-1.0049499797499948,187.0816204592653,13.677778345157716,-0.8586563592065283,3.261762799796961,0.062900641025641,193.92291877005155,114.33934862758656,8.581404483128697,3.2021025179085547,2.913282027730493,1.2630264682404873,72.94022806027105,0.039940676156417,1.0991392139274132,0.4335407475892098,23.4375,2.6157724973433787,0.6946746397738338,1.321953182708404,187.0816204592653,0.2185586369532103,2.3429867228545125,4.20120570240873,85,0.3085743717035719,8.30078125,4.715727865701783,7.259996888571166,0.3771311707635208,0.0051025366141483,0.0655443954175871,6.290116619316604e-05,1.0678515895745293,1.9435945215455697,0.3179838124888293,a_c_b,a_c_b
287,a_pu_b,a_c_b,Fz,1.3981056902743534,1.2270360327175922,161.79245378072696,12.719766262818156,0.4179759886283719,2.418274749867438,0.0604967948717948,163.7471533019045,106.90228995927168,10.759626027354985,4.506865143276874,4.281351470764051,1.569494070611818,95.68263780924138,0.0447453327875388,1.052673478001697,0.3665884665927055,21.484375,2.5431571821863947,0.69938482099641,1.2898811604918274,161.79245378072696,0.218578810245706,2.251151291716984,4.294769676633858,83,0.3421531439295422,8.30078125,6.945570769797496,7.381801574884148,0.3301444632640704,0.0057634347111627,0.0698087571620382,2.3206103469505947e-05,0.999506373399036,1.937801585441228,0.2956828484939415,a_pu_b,a_pu_b
378,a_pu_b,a_c_b,O2,4.845826342247899,0.3809829033766618,894.3703749992399,29.90602573059884,4.412910183356708,23.42708690655219,0.078125,917.8524079384632,332.68484519023326,5.0501343186178325,1.3901210933772996,5.320551256688502,0.9021048924241032,58.23098041975056,0.0913697694652569,0.2612738842859128,0.1695510199793791,12.6953125,3.398059989547119,0.6777439761428083,1.3005664251425808,894.3703749992399,0.1499091361624321,3.350013753108585,2.091683808885743,100,0.3711967647844159,12.20703125,8.862102191126642,6.78998018658271,0.2654087644281365,0.004349848217427,0.0634427496177586,0.000341489210903,1.2058174892641649,0.0613718380207521,0.2150961036988582,a_pu_b,a_pu_b
381,a_pu_b,a_c_b,TP7,0.9337354077882924,0.2780390969663244,300.4963291548897,17.33482994306231,1.813930929939,11.352662292814424,0.0645032051282051,301.3681909666472,200.1648163496516,3.42785880146943,1.0179746867497397,1.7287083294828358,0.7046610535966025,33.95420743407743,0.0509129342170376,0.5888643384128769,0.4076228717006358,20.5078125,2.852717769060735,0.7038449630166835,1.3586220109748222,300.4963291548897,0.1535387630957151,3.39076411273616,3.1496662144505936,91,0.2557745781403794,8.7890625,1.757559100558014,6.99870502987363,0.2693930692337187,0.012469431186879,0.031203825247859,7.916603024452827e-05,1.2440411183855324,0.4686281896999404,0.2905556334366877,a_pu_b,a_pu_b
383,a_pu_b,a_c_b,Fz,-2.2767652026541514,-1.0288250175063922,169.5962501005006,13.0229125045245,-0.7686219454837194,2.3391588345116183,0.0596955128205128,174.77990988851735,98.66166759904672,9.061739982509408,3.580292592535585,3.779707200556101,1.493613918443961,83.51026965188625,0.0452603879296745,0.94724072595063,0.3951665669298956,20.5078125,2.5667103064361214,0.6941335453215147,1.2826432122816536,169.5962501005006,0.2051887060405071,2.319822737098366,4.429907206082491,88,0.1978403046185178,10.7421875,3.072815127899273,7.327768570636619,0.244597506178066,0.0109289094328562,0.0478344622687325,2.4938876929107343e-05,1.067048006465861,1.9528350217347,0.3166225241409595,a_pu_b,a_pu_b
