feature,f_score,p_value,selected
psd_theta,213.28959481722578,1.8160839659551614e-139,True
total_power,176.86329244346408,1.236074632277507e-125,True
psd_alpha,89.94253708419241,8.034269491700403e-82,True
microstate_var,83.0447443180369,2.3607823969744907e-77,True
psd_delta,78.351250783509,3.4040542630811088e-74,True
psd_beta,73.25995742680001,1.190340014168607e-70,False
ind_alpha_power,70.27934849606174,1.6223305658605687e-68,False
ratio_theta_alpha,54.214846653819485,3.7167107609833093e-56,False
rel_alpha,49.943865617805024,1.3467066141546754e-52,False
sample_entropy,32.772196416336676,7.089158653641173e-37,False
phase_locking_value,32.18505818313275,2.711536486980539e-36,False
std,30.071316616209582,3.615299593852571e-34,False
variance,26.565341906754874,1.5154826753768667e-30,False
hjorth_activity,26.565341906754874,1.5154826753768667e-30,False
energy,26.550480108231998,1.570991291078984e-30,False
perm_entropy,18.505182456692307,1.0048872327639705e-21,False
ratio_beta_alpha,18.38531602220603,1.3763311375986878e-21,False
ptp,17.424568734575008,1.7356809865484448e-20,False
alpha_peak_freq,17.007932715282422,5.2485572273226154e-20,False
higuchi_fd,16.491199409653895,2.083383555228101e-19,False
median,16.250392907074872,3.9701470734599273e-19,False
kurtosis,13.973671560685712,1.8970303571754995e-16,False
psd_gamma_high,13.593120199177443,5.387501944863259e-16,False
wavelet_complexity,10.91126071828718,9.28014856956552e-13,False
zcr,10.626767192330405,2.064421114393447e-12,False
hjorth_complexity,10.217950024364253,6.530732414384954e-12,False
lempel_ziv,9.79644933976304,2.147871851200985e-11,False
dfa,9.496107011103772,5.025936464006746e-11,False
spectral_entropy,7.587529328664771,1.145387459331252e-08,False
spectral_edge,7.446119067669754,1.7144898679601737e-08,False
signal_coherence,7.091604049931651,4.7138164426684973e-08,False
hjorth_mobility,4.712630188995897,4.0217696752800785e-05,False
psd_gamma_low,2.739601347761302,0.008547536426955715,False
energy_ratio,2.1584345487428203,0.036707476675709116,False
dyn_conn_variance,1.512404661361517,0.160822113773258,False
skewness,1.0155344604578265,0.41931695984084905,False
mean,0.2762537557615673,0.9630733972922406,False
