index,true_label,predicted_label,channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
928,baseline,imagery,O1,0.016418464,0.136705709,71.47471536,8.454272018,-0.298539945,0.268987811,0.114983974,71.47498492,58.84959973,5.285242014,1.608718073,2.071019259,1.563146732,58.71131655,0.035274618,0.776776008,0.754771703,30.2734375,2.134671878,0.743745394,1.520968449,71.47471536,0.363033135,1.66208793,4.725325497,124,0.211982144,12.6953125,1.920978274,7.573500612,0.302567142,0.004654522,0.257581033,1.94e-05,0.868629585,1.064033492,0.269341638,baseline,baseline
933,baseline,imagery,TP7,-0.187566093,0.392253099,47.06629737,6.860488129,-0.646147841,1.891252132,0.106169872,47.10147841,55.95952763,2.769029234,1.912409415,1.572377801,0.853850173,37.61553967,0.041801283,1.216253126,0.54303118,28.3203125,1.925778595,0.732390111,1.440750163,47.06629737,0.319105343,1.747108305,4.666913985,117,0.267453355,10.25390625,1.59382418,7.51707525,0.392395073,0.011483822,0.112749443,6.94e-06,0.84293696,1.026963669,0.308672006,baseline,baseline
937,baseline,imagery,Oz,-0.558709075,0.255136319,106.8474388,10.33670348,-0.584019934,0.778327427,0.099124204,107.1595947,73.84080515,8.066829031,2.458450249,6.979851731,1.945703046,96.97634984,0.071974783,0.352220985,0.27875994,29.296875,2.335701006,0.728746921,1.401044766,106.8474388,0.320298535,1.758206028,4.616409593,111,0.177902638,11.23046875,7.734395626,7.565075178,0.301137498,0.005129325,0.166362517,1.31e-05,0.855878505,0.90129643,0.234401855,baseline,baseline
938,baseline,imagery,O2,1.597034542,0.684949563,184.574013,13.58580189,0.736457733,3.694922073,0.090366242,187.1245324,148.210235,9.321351252,3.032007603,12.60837585,2.207011519,130.2517949,0.096800016,0.240475668,0.175043284,26.3671875,2.609025269,0.696249388,1.34459585,184.574013,0.28893649,1.847676135,4.193535903,107,0.467633968,11.23046875,17.6173121,7.405276675,0.356372782,0.003087782,0.184019722,5.24e-05,0.886358282,0.575848272,0.204279101,baseline,baseline
940,baseline,imagery,PO4,0.586637836,0.736521933,173.7972186,13.18321731,-0.354361298,1.013014041,0.093949045,174.1413625,103.468456,13.25122027,4.080321246,17.91528196,2.777202717,177.7257225,0.100802977,0.227756463,0.155018644,25.390625,2.578944605,0.695218801,1.311983084,173.7972186,0.305701602,1.658725589,4.199610563,112,0.469597697,11.23046875,21.45650927,7.510023805,0.323104251,0.006436382,0.139216308,1.65e-05,0.780589317,1.02933853,0.200611666,baseline,baseline
944,baseline,imagery,O1,0.348151669,0.783829709,132.6689669,11.51820155,-0.075220241,1.563229498,0.096554487,132.7901765,92.27147185,3.810029671,1.662327494,7.936288776,1.585865192,78.37012755,0.101266758,0.209459048,0.199824532,27.34375,2.443928527,0.710230429,1.362178825,132.6689669,0.296102647,1.780171973,4.336085662,113,0.444709981,11.71875,14.40021416,7.467098541,0.303874254,0.005890261,0.123644794,9.36e-06,0.857005219,0.958385409,0.216798257,baseline,baseline
945,baseline,imagery,Oz,0.313735272,0.816531358,103.1288864,10.15523936,-0.451930893,1.098157553,0.100160256,103.2273163,77.21713136,4.232262686,2.205939848,9.823028122,1.698931397,91.39342509,0.107480687,0.224568211,0.172953938,27.34375,2.317989765,0.702941683,1.347057469,103.1288864,0.328316985,1.602683135,4.281449689,110,0.45346032,11.71875,11.98730488,7.548512456,0.348845964,0.009134913,0.121242017,7.55e-06,0.791563541,0.977500748,0.24282416,baseline,baseline
949,baseline,imagery,TP7,-0.2242219,0.555070287,55.05775099,7.420091037,-0.806870593,1.380174362,0.091346154,55.10802645,50.0319751,3.772754737,1.215676981,1.935444073,0.841837853,39.07582979,0.049530466,0.628112689,0.434958501,27.34375,2.004191326,0.730616078,1.414530481,55.05775099,0.299817205,1.827592906,4.550178939,109,0.280559896,12.20703125,2.83688298,7.522650181,0.355387845,0.01091198,0.052940929,1.98e-05,0.892549779,1.198489731,0.289086862,baseline,baseline
961,baseline,imagery,Oz,-0.048134259,0.457451161,81.43837256,9.024321169,-0.436924501,0.630534099,0.098328025,81.44068946,63.84434501,5.075701223,1.839903108,10.07039525,1.066360198,82.06278066,0.122715745,0.18270416,0.1058906,25.390625,2.199923285,0.70666227,1.331568857,81.43837256,0.323671201,1.589504919,4.134201963,109,0.445398644,11.71875,15.7461358,7.535864369,0.356645543,0.01388445,0.112859284,1.25e-05,0.751804387,0.599171317,0.250811975,baseline,baseline
965,baseline,imagery,TP7,-0.124988002,-0.018072118,45.27678582,6.728802704,-0.458497939,1.643691771,0.096735669,45.29240782,54.24161704,3.173761088,1.177134179,2.410769973,0.831246618,38.835339,0.062076707,0.488281417,0.344805447,26.3671875,1.906397223,0.721493545,1.38769858,45.27678582,0.321551672,1.649180313,4.574676252,112,0.348161262,11.71875,2.778215909,7.497869485,0.417415151,0.004560018,0.05618679,1.52e-05,0.843375929,0.818633684,0.255183543,baseline,baseline
969,baseline,imagery,Oz,0.920683724,1.171974592,88.2432204,9.393786265,-0.199117467,0.710962198,0.109872611,89.09087892,70.18237593,2.932623067,1.951348676,6.526474345,1.413087777,68.14474128,0.095773705,0.298989711,0.216516254,29.296875,2.240048435,0.725143849,1.413129242,88.2432204,0.341544732,1.627783439,4.672395737,115,0.319908454,10.7421875,12.39071096,7.549272786,0.335444,0.00727454,0.18640831,8.71e-06,0.762551302,1.08472067,0.26283896,baseline,baseline
519,imagery,baseline,Fz,0.819190448,0.506565184,199.9641167,14.1408669,0.226523129,2.407217898,0.08206869,200.6351897,132.9797252,19.42575004,4.415431533,8.201147574,1.840508444,141.8727185,0.057806375,0.538391913,0.224420842,21.484375,2.649068967,0.717093419,1.344368323,199.9641167,0.236647527,2.174881602,3.871323272,175,0.364568205,10.7421875,8.200208733,8.482564748,0.341321292,0.006228861,0.114653053,1.06e-05,0.880848729,0.69848531,0.259103911,imagery,imagery
976,baseline,imagery,O1,0.209854133,0.540675791,70.48566921,8.395574383,-0.394885117,0.809147575,0.121394231,70.52970797,58.77637696,3.480626379,1.782332091,3.053955108,1.308378058,53.33783297,0.057256828,0.583614371,0.428420855,29.296875,2.127704708,0.744913333,1.490206956,70.48566921,0.367243892,1.623858019,4.756802037,129,0.27519342,12.20703125,3.298643752,7.565933326,0.351553875,0.003979366,0.26557432,2.69e-05,0.787355435,0.844345343,0.225423869,baseline,baseline
