index,true_label,predicted_label,channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
0,a_c_b,p_sf_b,O1,-0.264197225670483,0.056599789808101,135.44261323886693,11.637981493320348,-0.8663476451996526,9.533207302172563,0.0848642172523961,135.51241341291887,169.34561533739824,4.51189547529013,1.5602744111653244,2.7377938257710266,0.9327645183065624,47.51772070313391,0.0576162699990461,0.5699020855691771,0.3406993286077245,23.4375,2.454274016047645,0.7191994144230879,1.3630120971463509,135.44261323886693,0.2249700229960156,2.357466395564872,4.169855750986292,181,0.3325512600270665,11.23046875,4.33449479533833,8.313167519405466,0.3217775157683504,0.0104146150841427,0.0680262263616711,2.2754864827510857e-05,0.926813504280647,1.2114693290460543,0.2463474902773901,a_c_b,a_c_b
2,a_c_b,p_sf_b,O2,-0.5868911773659384,0.83398020248449,202.58105076286705,14.233097019372384,-1.9331104401695407,13.007871608434376,0.0750798722044728,202.925492016937,199.816280797601,5.8793369091944525,1.9758823299129973,7.276991843149229,1.3372261085615555,78.71957737394028,0.0924419577176012,0.2715246041911054,0.1837608365358357,21.484375,2.6555700285812667,0.6656729541457087,1.2652092692747456,202.58105076286705,0.2187107096232522,2.201345277330645,4.173252278640216,172,0.4959461476083985,11.23046875,8.598028038626499,8.221985101719445,0.3936818600017664,0.009612174686018,0.0574975234656285,2.539924565042676e-05,0.8740986389588054,1.842398654056265,0.1846300903676504,a_c_b,a_c_b
80,p_sf_b,a_c_b,O1,-0.241016963954448,0.4240209687511491,62.21823926613874,7.8878539075048,-0.6001970406984156,1.2655839245573155,0.0860623003194888,62.27632844305256,67.42351639647555,4.820057983990042,1.5232569797118962,3.278825430522799,0.996653259213336,51.60826225874895,0.0635329555194808,0.4645739799172588,0.3039665515386778,23.4375,2.065324096287645,0.7040629579802701,1.3400667778282604,62.21823926613874,0.2907162860949933,1.7645731952591066,4.456856118368109,178,0.3714440858806775,11.23046875,4.175740288553789,8.49703996083705,0.3011976158090605,0.0071197729528556,0.0619451288708847,2.838506187070293e-06,0.774908077873039,0.9267609524347936,0.2522623257483099,p_sf_b,p_sf_b
81,p_sf_b,a_c_b,Oz,-0.4804613870540812,0.1217345907368775,86.96973878837521,9.3257567407892,-0.6337659911969464,1.9283627309818323,0.0838658146964856,87.20058193282514,94.36320155026765,5.582969164914999,2.519370566047181,4.208915446613234,1.1828007248877976,64.95246459336703,0.0647999344284011,0.5985795148425779,0.2810226862218284,23.4375,2.232780114075231,0.6956554289065551,1.3067095378413185,86.96973878837521,0.2793805728342645,1.7812471295901562,4.492159793050695,182,0.3235629413797347,11.23046875,5.5968528302294205,8.447973474634157,0.3397866907093901,0.0077488418356211,0.0659483625894837,1.6087151871286414e-05,0.777896495336791,0.6653229311556592,0.2417196714062675,p_sf_b,p_sf_b
3,a_c_b,p_sf_b,PO3,-0.4229557885284662,1.0156409371949393,143.11311163792575,11.962989243409265,-1.7474454542596558,8.334626245344358,0.0724840255591054,143.29200323697552,125.90712988046933,10.869498678938925,2.5574563667400976,4.037661936083127,1.2124255419859344,80.81262900385647,0.0499632543310828,0.6334003210831084,0.3002791123127286,20.5078125,2.4818176540417665,0.6931809992058103,1.3012053844871867,143.11311163792575,0.2209394153407888,2.2193879220373725,3.907872148456647,176,0.3499786327620239,11.23046875,5.908479613144246,8.366376144938348,0.3756921846591865,0.0110277349657043,0.0459668089101668,1.1822975517092867e-05,0.8529393373811592,2.08271807062047,0.2511893528453424,a_c_b,a_c_b
4,a_c_b,p_sf_b,PO4,-0.6679029067191745,0.4153695793633964,125.93000284622622,11.2218538061332,-0.5924526098499326,0.7562864045315334,0.0752795527156549,126.37609713903014,94.67213951986552,9.649056016988515,2.9436565941307884,9.380233322634815,1.8038554630783623,110.7121260534385,0.0847263407994456,0.3138148586376468,0.1923039013033502,21.484375,2.417863109818615,0.6679452656634698,1.2494219879983917,125.93000284622622,0.2757125410293151,1.6488416462681763,4.268249943833882,158,0.4236652749969519,11.23046875,10.715744003574974,8.487983273006689,0.3736238076671855,0.0133765296734596,0.0674994112315244,2.563440947161837e-05,0.7123672908305526,1.204197371987905,0.2059781662481735,a_c_b,a_c_b
83,p_sf_b,a_c_b,PO3,-1.0885094721086723,-0.0996471942018788,106.29730906476456,10.310058635369856,-1.0891566998660185,3.358452139602588,0.0784744408945686,107.48216193563484,98.71507156670124,5.477908693067754,2.445246082410846,4.662335763326602,1.394903058667439,69.97230851816695,0.0666311554108025,0.5244680363102271,0.2991854575639074,22.4609375,2.3331199852551654,0.687965943700767,1.29964099116348,106.29730906476456,0.2612658576445907,1.863702807763944,4.4237732694355625,171,0.3668141082561445,11.23046875,6.791444338173352,8.378410513212783,0.3345196693873296,0.0096991488060814,0.0608075520352833,1.4597688091017874e-05,0.8028662172924201,0.8176374709721435,0.2714659303480079,p_sf_b,p_sf_b
85,p_sf_b,a_c_b,TP7,-1.3238278636196952,0.4242074132009747,88.71525865090813,9.418877780866897,-2.299683882354139,9.461745406477512,0.0652955271565495,90.46777886340402,93.45611668531264,3.7678124685184833,1.443730970395901,1.812000841395952,0.6982700098038087,36.89522482919143,0.0491120693744167,0.7967606512167298,0.3853585461173774,22.4609375,2.2427159499593703,0.7104237856182694,1.3421919811284355,88.71525865090813,0.2268165281271237,2.3017875150757585,4.108964437057349,148,0.3279912898706808,11.23046875,2.1233359503189737,8.282059270966755,0.3200747013867422,0.0084613377042622,0.0476970955713544,1.1276140458266488e-05,0.9330869166460796,0.645827374466516,0.301613826330537,p_sf_b,p_sf_b
86,p_sf_b,a_c_b,TP8,-0.3720803913149331,0.9503701669278666,117.33108531937872,10.831947438913224,-1.000056728012665,2.41447292680777,0.0688897763578274,117.4695291369798,97.34712581390062,10.31054465347892,3.541213435435739,5.349176169681947,1.67392315959954,96.62380925369922,0.0553608495773225,0.6620109944231457,0.3129310208714006,23.4375,2.3824998637775354,0.6982663683481826,1.3004236024640423,117.33108531937872,0.2799570222246226,1.7764548980746362,4.432157843233611,156,0.2659171826695095,11.71875,5.842906678708687,8.38563820229419,0.3339817275616287,0.0078518922137559,0.0788892129734303,1.0308367941077466e-05,0.7702728441077825,0.7518488114655003,0.2960684965078554,p_sf_b,p_sf_b
97,a_c_b,p_sf_b,Oz,-0.5530285965100732,0.1502697680589408,108.01024551449142,10.39279777126888,-1.771121138501229,9.828243973141506,0.0714856230031948,108.31608614304936,133.91254672933624,4.0153987223660375,1.5201154766659837,2.5652073580938843,0.8893568864076593,44.39591146147545,0.0577802611467914,0.5925897069761752,0.3466998032738021,24.4140625,2.3411130442594508,0.7010139301181489,1.327922982927138,108.01024551449142,0.2256579082414835,2.284576023868485,4.457401353903324,159,0.2716004349941541,11.71875,3.487049936161429,8.310862385752275,0.3169685948090017,0.0097664523993427,0.0637033342654747,1.553801081194984e-05,0.8881393651771199,1.892409484602959,0.2710681877621991,a_c_b,a_c_b
